,pick,round,player_key,team_key
89,90,8,422.p.10456,422.l.24865.t.8
90,91,8,422.p.8650,422.l.24865.t.2
91,92,8,422.p.9750,422.l.24865.t.5
92,93,8,422.p.11125,422.l.24865.t.9
93,94,8,422.p.10794,422.l.24865.t.12
94,95,8,422.p.9640,422.l.24865.t.7
95,96,8,422.p.8868,422.l.24865.t.3
96,97,9,422.p.11526,422.l.24865.t.1
97,98,9,422.p.11847,422.l.24865.t.10
98,99,9,422.p.9889,422.l.24865.t.11
99,100,9,422.p.11292,422.l.24865.t.6
100,101,9,422.p.12763,422.l.24865.t.4
101,102,9,422.p.11398,422.l.24865.t.8
102,103,9,422.p.9173,422.l.24865.t.2
103,104,9,422.p.10429,422.l.24865.t.5
104,105,9,422.p.11121,422.l.24865.t.9
105,106,9,422.p.11597,422.l.24865.t.12
106,107,9,422.p.11118,422.l.24865.t.7
107,108,9,422.p.9883,422.l.24865.t.3
108,109,10,422.p.11625,422.l.24865.t.1
109,110,10,422.p.9724,422.l.24865.t.10
110,111,10,422.p.9583,422.l.24865.t.11
111,112,10,422.p.10205,422.l.24865.t.6
112,113,10,422.p.12776,422.l.24865.t.4
113,114,10,422.p.8287,422.l.24865.t.8
114,115,10,422.p.10839,422.l.24865.t.2
115,116,10,422.p.9557,422.l.24865.t.5
116,117,10,422.p.12212,422.l.24865.t.9
117,118,10,422.p.10843,422.l.24865.t.12
118,119,10,422.p.10420,422.l.24865.t.7
119,120,10,422.p.11235,422.l.24865.t.3
120,121,11,422.p.11692,422.l.24865.t.1
121,122,11,422.p.11231,422.l.24865.t.10
122,123,11,422.p.9002,422.l.24865.t.11
123,124,11,422.p.10369,422.l.24865.t.6
124,125,11,422.p.10215,422.l.24865.t.4
125,126,11,422.p.11771,422.l.24865.t.8
126,127,11,422.p.10505,422.l.24865.t.2
127,128,11,422.p.9861,422.l.24865.t.5
128,129,11,422.p.12621,422.l.24865.t.9
129,130,11,422.p.11323,422.l.24865.t.12
130,131,11,422.p.11057,422.l.24865.t.7
131,132,11,422.p.9691,422.l.24865.t.3
132,133,12,422.p.12024,422.l.24865.t.1
133,134,12,422.p.11760,422.l.24865.t.10
134,135,12,422.p.11102,422.l.24865.t.11
135,136,12,422.p.11789,422.l.24865.t.6
136,137,12,422.p.11169,422.l.24865.t.4
137,138,12,422.p.10462,422.l.24865.t.8
138,139,12,422.p.12152,422.l.24865.t.2
139,140,12,422.p.11124,422.l.24865.t.5
140,141,12,422.p.9893,422.l.24865.t.9
141,142,12,422.p.9898,422.l.24865.t.12
142,143,12,422.p.11052,422.l.24865.t.7
143,144,12,422.p.9106,422.l.24865.t.3
144,145,13,422.p.11731,422.l.24865.t.1
145,146,13,422.p.10898,422.l.24865.t.10
146,147,13,422.p.10572,422.l.24865.t.11
147,148,13,422.p.11090,422.l.24865.t.6
148,149,13,422.p.12322,422.l.24865.t.4
149,150,13,422.p.12449,422.l.24865.t.8
150,151,13,422.p.10233,422.l.24865.t.2
151,152,13,422.p.9823,422.l.24865.t.5
152,153,13,422.p.10504,422.l.24865.t.9
153,154,13,422.p.12361,422.l.24865.t.12
154,155,13,422.p.9879,422.l.24865.t.7
155,156,13,422.p.10592,422.l.24865.t.3
156,157,14,422.p.11573,422.l.24865.t.1
157,158,14,422.p.11370,422.l.24865.t.10
158,159,14,422.p.9846,422.l.24865.t.11
159,160,14,422.p.12301,422.l.24865.t.6
160,161,14,422.p.10036,422.l.24865.t.4
161,162,14,422.p.12281,422.l.24865.t.8
162,163,14,422.p.10700,422.l.24865.t.2
163,164,14,422.p.10569,422.l.24865.t.5
164,165,14,422.p.11903,422.l.24865.t.9
165,166,14,422.p.11826,422.l.24865.t.12
166,167,14,422.p.9193,422.l.24865.t.7
167,168,14,422.p.11268,422.l.24865.t.3
168,169,15,422.p.11722,422.l.24865.t.1
169,170,15,422.p.11531,422.l.24865.t.10
170,171,15,422.p.10236,422.l.24865.t.11
171,172,15,422.p.10919,422.l.24865.t.6
172,173,15,422.p.10998,422.l.24865.t.4
173,174,15,422.p.11768,422.l.24865.t.8
174,175,15,422.p.11478,422.l.24865.t.2
