playerid,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC+,BsR,Fld,Off,Def,WAR,ADP
11579,Bryce Harper,PHI,156,672,545.1117824773414,147.190332326284,32.483383685800604,1.0151057401812689,36.54380664652568,101.51057401812689,104.5558912386707,113.69184290030212,152.26586102719034,7.1057401812688825,12.181268882175228,5.075528700906345,0.26899999999999996,0.39799999999999996,0.532,0.93,0.39,143,-1.725679758308157,-1.62416918429003,35.122658610271905,-9.846525679758308,4.770996978851964,9.2
11493,Manny Machado,SDP,156,672,593.6687116564417,162.84662576687117,29.88957055214724,2.061349693251534,32.98159509202454,93.79141104294479,105.12883435582823,68.02453987730061,114.40490797546012,5.153374233128834,10.306748466257668,4.122699386503068,0.27399999999999997,0.35,0.498,0.8490000000000001,0.35700000000000004,127,-0.9276073619631903,1.649079754601227,22.159509202453986,3.607361963190184,4.844171779141105,22.2
14344,Matt Olson,OAK,154,665,565.655487804878,145.97560975609755,27.370426829268293,1.013719512195122,39.53506097560975,94.27591463414633,105.42682926829268,84.13871951219512,136.85213414634146,9.123475609756097,3.0411585365853657,1.013719512195122,0.258,0.361,0.522,0.882,0.37,140,-0.9123475609756099,4.358993902439024,31.83079268292683,-8.3125,4.66310975609756,41.4
11368,Yasmani Grandal,CHW,134,539,435.4235074626866,102.57089552238806,18.100746268656717,1.005597014925373,26.145522388059703,74.41417910447761,72.40298507462687,92.51492537313433,128.71641791044775,5.027985074626865,1.005597014925373,1.005597014925373,0.23600000000000002,0.373,0.461,0.8340000000000001,0.36200000000000004,132,-3.1173507462686567,-1.4078358208955222,17.899626865671642,5.22910447761194,4.525186567164179,96.9
12533,Marcus Semien,TEX,154,665,584.9265785609398,150.38179148311306,30.271659324522762,1.9530102790014683,29.295154185022028,93.7444933920705,82.02643171806167,66.40234948604993,123.03964757709251,3.9060205580029366,10.741556534508076,3.9060205580029366,0.258,0.336,0.467,0.802,0.344,119,1.171806167400881,2.7342143906020557,16.991189427312776,4.4919236417033765,4.394273127753304,36.9
5417,Jose Altuve,HOU,147,637,564.0396475770925,159.01615271659324,29.93245227606461,0.935389133627019,24.320117474302496,94.47430249632892,73.8957415565345,58.9295154185022,90.73274596182085,4.676945668135096,7.483113069016152,2.8061674008810575,0.282,0.353,0.47100000000000003,0.8240000000000001,0.353,127,0.7483113069016153,-3.8350954478707777,21.981644640234947,-1.5901615271659326,4.209251101321586,73.3
12916,Francisco Lindor,NYM,152,658,582.0389805097451,146.0029985007496,28.608695652173914,2.9595202398800597,29.595202398800602,87.79910044977511,91.74512743628186,63.13643178410794,114.43478260869566,6.9055472263868065,12.824587706146927,4.932533733133433,0.252,0.32899999999999996,0.46299999999999997,0.7929999999999999,0.337,116,-0.19730134932533736,1.9730134932533732,13.219190404797603,9.371814092953523,4.43928035982009,51.2
5361,Freddie Freeman,,159,686,581.4080717488789,169.1928251121076,33.83856502242152,2.0508221225710015,29.736920777279522,102.54110612855008,96.38863976083708,88.18535127055306,110.74439461883408,8.203288490284006,6.1524663677130045,3.0762331838565022,0.29100000000000004,0.389,0.512,0.9009999999999999,0.379,140,-0.10254110612855008,1.2304932735426009,34.24872944693573,-11.58714499252616,4.614349775784754,19.7
14161,Byron Buxton,MIN,131,567,521.0,139.0,33.0,2.0,30.0,82.0,85.0,32.0,136.0,7.0,15.0,5.0,0.268,0.316,0.514,0.83,0.35,123,1.8,4.4,17.5,6.5,4.3,56.8
12161,Xander Bogaerts,BOS,154,665,586.1016949152543,161.89522342064717,37.91217257318952,1.0246533127889061,24.591679506933747,87.09553158705701,94.26810477657936,68.6517719568567,122.95839753466872,5.12326656394453,6.147919876733437,2.0493066255778123,0.276,0.354,0.473,0.8270000000000001,0.354,121,0.4098613251155624,-3.4838212634822803,17.4191063174114,3.8936825885978426,4.406009244992296,45.0
12861,Anthony Rendon,LAA,133,574,492.14260869565214,133.76695652173913,30.94608695652174,0.9982608695652174,20.963478260869568,75.86782608695651,78.86260869565217,68.88,89.84347826086957,7.986086956521739,1.9965217391304348,0.9982608695652174,0.272,0.36700000000000005,0.467,0.8340000000000001,0.358,127,0.09982608695652175,1.4973913043478262,19.266434782608698,3.693565217391305,4.292521739130435,106.3
18882,Brandon Lowe,TBR,143,616,534.3258785942492,129.89137380191693,27.552715654952074,0.9840255591054312,31.4888178913738,85.61022364217253,84.6261980830671,64.94568690095846,164.33226837060704,8.856230031948881,5.904153354632587,1.9680511182108624,0.244,0.33299999999999996,0.479,0.812,0.345,125,1.1808306709265175,-1.672843450479233,20.074121405750795,0.0,4.132907348242812,74.2
9777,Nolan Arenado,STL,156,672,602.6255778120185,157.38674884437594,30.027734976887515,2.0708782742681047,32.098613251155626,86.9768875192604,102.5084745762712,59.02003081664098,100.43759630200307,5.177195685670262,2.0708782742681047,1.0354391371340523,0.262,0.33,0.479,0.809,0.341,117,0.20708782742681048,4.038212634822804,14.496147919876734,6.212634822804315,4.34884437596302,67.1
18345,Kyle Tucker,HOU,147,637,567.5090909090909,157.93388429752068,33.69256198347107,4.211570247933884,32.6396694214876,88.44297520661156,97.9190082644628,58.961983471074376,109.500826446281,4.211570247933884,14.740495867768594,5.264462809917355,0.27899999999999997,0.348,0.524,0.873,0.36700000000000005,137,0.31586776859504134,0.6317355371900827,28.954545454545457,-7.054380165289256,4.316859504132231,12.8
16556,Ozzie Albies,ATL,154,665,603.7369985141158,163.03863298662705,35.57206537890045,4.940564635958395,27.66716196136701,94.85884101040118,89.91827637444278,48.417533432392275,116.59732540861812,4.940564635958395,17.786032689450224,5.928677563150074,0.27,0.327,0.483,0.809,0.34299999999999997,112,2.3714710252600297,3.0631500742942053,12.351411589895989,5.5334323922734026,3.952451708766716,18.7
12856,George Springer,TOR,151,651,563.6238938053098,145.94690265486724,26.884955752212388,1.9203539823008848,34.56637168141593,100.81858407079645,88.33628318584071,70.09292035398231,136.34513274336283,8.641592920353983,7.681415929203539,2.8805309734513274,0.26,0.348,0.498,0.846,0.36,126,0.0,-4.224778761061947,20.643805309734514,-4.320796460176991,3.8407079646017697,58.8
19556,Yordan Alvarez,HOU,146,630,554.7611464968153,155.4936305732484,32.10191082802548,1.0031847133757963,37.117834394904456,93.29617834394904,110.35031847133757,62.197452229299365,145.46178343949046,7.022292993630573,1.0031847133757963,1.0031847133757963,0.28,0.35700000000000004,0.546,0.903,0.379,145,-0.4012738853503185,0.0,34.10828025477707,-16.552547770700638,3.912420382165605,28.9
11739,J.T. Realmuto,PHI,149,602,536.0,135.0,27.0,3.0,23.0,74.0,81.0,51.0,140.0,10.0,10.0,4.0,0.251,0.325,0.43799999999999994,0.763,0.327,102,1.6,3.5,3.2,8.8,3.9000000000000004,50.5
13613,Ketel Marte,ARI,149,644,574.4827586206897,166.0689655172414,38.62068965517241,2.8965517241379306,22.20689655172414,90.75862068965517,80.13793103448276,54.06896551724138,94.62068965517243,6.758620689655173,4.827586206896552,1.9310344827586206,0.289,0.355,0.48,0.835,0.35600000000000004,120,-0.1931034482758621,-1.9310344827586206,16.510344827586206,-0.7724137931034484,3.668965517241379,80.0
17232,Yoán Moncada,CHW,149,644,552.989247311828,142.45161290322582,30.666666666666664,1.978494623655914,20.774193548387096,83.09677419354838,77.16129032258064,76.17204301075269,166.19354838709677,7.913978494623656,3.956989247311828,1.978494623655914,0.258,0.353,0.433,0.7859999999999999,0.342,118,0.0,0.4946236559139785,14.245161290322581,1.6817204301075268,3.7591397849462367,150.9
19251,Pete Alonso,NYM,151,651,563.7318952234206,145.44684129429893,26.080123266563945,2.0061633281972266,42.12942989214176,96.29583975346688,112.34514637904469,68.2095531587057,141.43451463790447,13.040061633281972,2.0061633281972266,1.0030816640986133,0.259,0.35,0.537,0.887,0.371,139,-2.5077041602465333,-0.10030816640986133,29.490600924499226,-13.240677966101694,3.8117103235747303,48.6
12564,Trevor Story,,149,644,571.2427480916031,140.59847328244274,30.479389312977098,3.932824427480916,26.546564885496185,83.57251908396947,86.52213740458016,58.009160305343514,163.212213740458,8.84885496183206,19.66412213740458,6.882442748091603,0.24600000000000002,0.322,0.45,0.772,0.33,108,1.5731297709923664,-1.081526717557252,7.669007633587786,6.194198473282443,3.5395419847328244,38.5
9218,Paul Goldschmidt,STL,156,672,584.3911111111112,160.28444444444443,29.866666666666667,1.991111111111111,29.866666666666667,97.56444444444445,90.59555555555555,74.66666666666666,141.3688888888889,4.977777777777778,6.9688888888888885,2.986666666666667,0.27399999999999997,0.358,0.48700000000000004,0.845,0.361,130,-0.09955555555555555,0.49777777777777776,25.48622222222222,-11.946666666666667,3.584,48.2
12927,Brandon Nimmo,NYM,134,581,479.63004846526655,124.83521809369951,25.34248788368336,3.754442649434572,15.956381260096931,84.47495961227787,56.31663974151858,82.59773828756059,121.08077544426494,9.38610662358643,9.38610662358643,3.754442649434572,0.26,0.377,0.42700000000000005,0.804,0.353,127,0.0,-0.09386106623586431,19.710823909531502,-5.2562197092084,3.378998384491115,320.3
16997,Gleyber Torres,NYY,151,651,572.7151898734178,153.47943037974684,28.841772151898734,1.0300632911392404,23.69145569620253,83.43512658227847,84.46518987341771,65.92405063291139,121.54746835443038,4.120253164556962,14.420886075949367,6.1803797468354436,0.268,0.34600000000000003,0.445,0.7909999999999999,0.341,117,-0.41202531645569623,-2.2661392405063294,13.49382911392405,1.1330696202531647,3.7082278481012656,151.9
19755,Shohei Ohtani,LAA,147,637,537.1354642313546,138.6468797564688,24.238964992389647,4.84779299847793,37.81278538812785,102.7732115677321,95.98630136986301,86.29071537290714,176.45966514459664,4.84779299847793,23.269406392694062,8.726027397260273,0.258,0.363,0.534,0.897,0.37200000000000005,137,0.1939117199391172,0.0,29.08675799086758,-16.48249619482496,3.3934550989345507,8.6
19326,Bryan Reynolds,PIT,154,665,578.3484848484849,161.21212121212122,32.24242424242424,6.045454545454545,22.166666666666668,84.63636363636363,87.6590909090909,73.55303030303031,133.0,7.053030303030304,5.037878787878788,3.0227272727272725,0.278,0.364,0.47,0.8340000000000001,0.35600000000000004,123,-0.403030303030303,-4.03030303030303,19.143939393939394,-5.541666666666667,3.526515151515152,92.3
