playerid,1B,2B,3B,AB,AVG,BB,CS,G,GDP,H,HBP,HR,IBB,Name,PA,R,RBI,SB,SF,SH,SO,Team
sa917952,109.62524999999998,109.62524999999998,109.62524999999998,109.62524999999998,109.62524999999998,109.62524999999998,109.62524999999998,102.0,109.62524999999998,109.62524999999998,109.62524999999998,109.62524999999998,109.62524999999998,Jose Miranda,441.0,109.62524999999998,109.62524999999998,109.62524999999998,109.62524999999998,109.62524999999998,109.62524999999998,MIN
17992,126.07333579473735,29.18552404288133,2.798117948991636,602.7929758054214,184.4291011766613,44.82648037896538,2.9304288112640595,151.0,9.93836868204087,165.29038898494395,1.6902301079133903,7.233411198333641,1.366267753733838,David Fletcher,651.0,79.00332110088227,52.85913690394029,10.819500687913335,2.0787871453387354,3.475032571578715,76.58557142964214,LAA
13338,64.22050081223725,15.700938680602,0.35499179801434033,363.1034416913379,99.29185602325582,39.58904294275805,0.39297588200778727,104.0,8.147706302510501,93.35908494188973,5.294196474053289,13.082653651036155,1.7195336311506597,Omar Narvaez,413.0,49.11770549261517,45.47341102518563,1.1735539193581566,3.5623341499608068,0.1751818707099138,86.24638852133718,MIL
19918,55.778316484307815,21.899471044826008,3.138052334640822,401.0736234315456,103.49081270273055,42.256215060453066,1.2657861178207277,105.0,6.4271871388589705,95.89705806835731,3.065242451113152,15.081218204582663,2.696098813573409,Daulton Varsho,438.0,58.11485024355695,51.242081633128386,7.946940501340941,1.0400489717302734,1.0102638720940065,102.71181644470528,ARI
19198,99.53859584558373,31.544798240141894,1.2278726743455521,524.8169520112316,163.14966420333764,47.0529191987308,1.9407218154959707,139.0,13.622737213333266,151.92649075917498,4.791755842871355,19.615223999103797,1.7155584168455411,Yuli Gurriel,602.0,77.87856361404386,79.59263325979889,2.963484412395771,8.852190408832346,0.19187310864389864,76.92759923220392,HOU
19238,91.92253241310242,31.41262188743233,2.1185017060779354,548.5528922949223,167.01685839479703,39.300591898961756,3.7094691862279334,138.0,10.509125668779582,151.20108715355246,4.015326022453777,25.74743114693981,0.969853534987465,Lourdes Gurriel Jr.,595.0,74.76141841721399,86.81788247501021,5.16630672445338,5.595715915172689,1.0561495206428526,126.67851344276175,TOR
11265,98.52355398653836,26.212684246478055,1.8783176671319999,558.0929734909965,162.84206902173915,34.93593798467012,0.7400578553703442,141.0,15.325667658657467,149.62494618186972,8.202642678268925,23.0103902817213,0.6778360208035658,Jonathan Schoop,609.0,78.48345940076784,75.79155414746634,2.577909797321318,5.325426246729403,0.20816563487084458,131.34176314713056,DET
5254,76.79280704135576,24.58555661507485,3.2287127565178477,509.22661654758167,144.0465629719062,75.60022574468587,4.065622594666966,139.0,7.699214905249086,122.83124115331599,6.795940084031772,18.22416474036752,2.947767018743287,Robbie Grossman,602.0,75.19341451975285,60.336461583082446,15.36352513199699,3.8339891566097735,1.082887517697901,128.57347057505754,DET
11899,64.71267939899926,19.726595813794027,2.6649522618861416,469.80070074414346,121.87009131444114,46.14236064643116,2.1526812488666796,123.0,9.247180363416538,112.02613202661767,10.247788150911903,24.92190455193825,0.9722296100863504,Joc Pederson,532.0,70.56236897265147,68.36857872712824,3.007937723412097,3.5833310401140537,0.21282887626731958,123.58101654160627,
18289,72.81803034208595,23.324014736701198,1.206242472720178,457.328821854994,130.89806084867894,47.360612562205255,0.8429200530871543,120.0,9.886959353530976,116.09176823340468,10.89798943026953,18.743480681897342,2.22361112387581,Brian Anderson,518.0,56.93927826989567,65.69307532886069,5.73565845323593,2.12566647897619,0.23709901424996732,124.9206897958462,MIA
22581,51.409081311780014,16.72501128482561,0.7676962800373216,329.65212386773317,101.54786115317991,34.09160597729988,0.8498396989712329,87.0,9.502305893947824,83.11224962118327,4.822387095333578,14.210460744540331,0.7366012131698829,Alejandro Kirk,359.0,43.266978789191235,45.657317558247385,2.5378980115987955,2.899450220666772,0.3788438809748137,66.23950296035376,TOR
13602,65.90295585759574,22.12318548208253,0.8475684944268894,520.3325289909614,103.03956853023365,49.3444018658407,1.8527782821829146,134.0,10.490939333098732,122.12143212418616,6.238635167682745,33.24772229008101,1.7277583030354775,Patrick Wisdom,581.0,77.39898652359311,82.59867568415245,6.460024737486996,1.3720730502120113,0.9669713682438082,198.2374981032231,CHC
2900,51.03801153708419,11.668795517225375,0.8652215465136356,377.2860191746744,85.75788411392404,42.024034707622086,0.5814026793642594,110.0,8.087573679417995,80.88754868823507,4.43253623515307,17.31552008741189,0.8439484108697904,Roberto Perez,435.0,42.74761066893494,49.59649427291014,2.30295071772649,2.210284393131342,3.7726761226970296,123.18019847008335,PIT
12552,57.77019187054487,21.539282402668874,0.8612267496976674,494.90707526921045,126.01240905945559,58.05110915255034,1.3063253985458219,131.0,12.015245868232503,112.87194352283824,7.702708600580231,32.701242499926835,1.6559095543252356,Eugenio Suarez,567.0,71.44530986801838,80.95565677016702,2.617480779565241,4.4139972768179945,0.1852018040899634,159.0477260950832,CIN
