"Name","Team","GS","G","IP","W","L","QS","SV","HLD","H","ER","HR","SO","BB","WHIP","K/9","BB/9","ERA","FIP","-1","WAR","RA9-WAR","-1","ADP","playerid"
"Joey Wentz","DET","10","10","55.0","3","4","3","0","0","58","33","10","44","27","1.53","7.20","4.44","5.38","5.52","","0.0","0.1","","999.0","sa917946"
"Tyler Zuber","KCR","0","35","35.0","2","2","0","0","1","32","18","5","35","19","1.46","8.98","4.79","4.59","4.72","","0.0","0.1","","999.0","20379"
"John Brebbia","SFG","0","44","44.0","2","2","0","0","1","41","21","7","45","16","1.29","9.19","3.22","4.32","4.31","","0.0","0.1","","999.0","12777"
"Zach Pop","MIA","0","58","58.0","3","3","0","0","12","56","27","7","53","25","1.39","8.26","3.85","4.12","4.26","","0.0","0.1","","999.0","20185"
"Jace Fry","","0","41","41.0","2","2","0","0","0","38","19","5","40","22","1.47","8.88","4.79","4.17","4.42","","0.0","0.1","","999.0","16159"
"Oliver Ortega","LAA","0","14","14.0","1","1","0","0","1","13","7","2","14","6","1.40","8.83","4.08","4.32","4.49","","0.0","0.1","","999.0","21025"
"Luis Frías","ARI","0","16","16.0","1","1","0","0","1","15","8","2","16","7","1.38","9.03","3.90","4.30","4.29","","0.0","0.1","","999.0","21997"
"Yoan López","PHI","0","14","14.0","1","1","0","0","1","14","7","2","13","6","1.39","8.30","3.62","4.52","4.67","","0.0","0.0","","999.0","17181"
"Bryan Baker","BAL","0","22","22.0","1","1","0","0","1","21","12","4","21","11","1.45","8.70","4.53","4.76","5.00","","0.0","0.0","","999.0","19804"
"Sean Guenther","MIA","0","26","26.0","1","1","0","0","1","25","12","4","23","10","1.34","7.91","3.36","4.18","4.43","","0.0","0.0","","999.0","20045"
"Arodys Vizcaíno","","0","14","14.0","1","1","0","0","1","13","7","2","14","6","1.37","9.20","3.91","4.47","4.45","","0.0","0.1","","999.0","5498"
"Alex Lange","DET","0","58","58.0","3","3","0","0","11","55","29","7","56","29","1.45","8.63","4.44","4.48","4.53","","0.0","0.1","","999.0","19883"
"Nabil Crismatt","SDP","0","26","26.0","1","1","0","0","1","26","12","4","23","9","1.33","7.79","2.96","4.29","4.38","","0.0","0.0","","999.0","17732"
"Matt Swarmer","CHC","2","2","9.0","0","1","1","0","0","10","5","2","7","3","1.43","6.93","3.18","5.31","5.37","","0.0","0.0","","999.0","sa918458"
"José Álvarez","SFG","0","52","52.0","2","3","0","0","7","54","25","6","39","20","1.41","6.79","3.38","4.29","4.44","","0.0","0.0","","999.0","5358"
"Brooks Wilson","ATL","0","12","12.0","1","1","0","0","1","12","6","2","12","5","1.37","9.04","3.66","4.35","4.35","","0.0","0.1","","999.0","sa3006966"
"Felipe Vázquez","PIT","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.14","11.32","3.10","3.12","3.17","","0.0","0.1","","999.0","12076"
"Corbin Martin","ARI","8","8","44.0","2","3","2","0","0","47","27","8","38","22","1.56","7.64","4.54","5.47","5.34","","0.0","0.0","","598.1","19884"
"Eric Orze","NYM","0","12","12.0","1","1","0","0","1","11","6","2","12","5","1.32","9.28","3.70","4.15","4.32","","0.0","0.0","","999.0","sa3014793"
"Patrick Ruotolo","SFG","0","30","30.0","1","2","0","0","1","28","14","4","30","12","1.33","8.85","3.59","4.23","4.29","","0.0","0.1","","999.0","sa856262"
"Enoli Paredes","HOU","0","10","10.0","1","0","0","0","1","9","5","1","11","6","1.43","10.02","5.08","4.21","4.45","","0.0","0.0","","999.0","20447"
"Penn Murfee","SEA","0","4","4.0","0","0","0","0","1","4","2","1","4","2","1.29","9.22","3.42","3.97","4.15","","0.0","0.0","","999.0","sa3006775"
"Keegan Thompson","CHC","10","52","94.0","4","6","3","0","4","95","52","15","85","44","1.48","8.14","4.22","5.05","5.03","","0.0","0.0","","999.0","19795"
"Evan Phillips","LAD","0","40","40.0","2","2","0","0","1","37","19","6","42","19","1.40","9.44","4.19","4.37","4.47","","0.0","0.0","","999.0","17734"
"Matt Frisbee","SFG","2","2","9.0","0","1","1","0","0","10","5","2","7","3","1.39","6.63","2.87","5.10","5.10","","0.0","0.0","","999.0","sa3006801"
"Seth Martinez","HOU","0","14","14.0","1","1","0","0","1","13","7","2","13","6","1.37","8.41","3.75","4.44","4.65","","0.0","0.1","","999.0","21045"
"Miguel Yajure","PIT","2","30","37.0","2","2","1","0","1","38","19","5","30","13","1.40","7.30","3.26","4.68","4.68","","0.0","0.0","","598.4","21111"
"Ray Kerr","SDP","0","20","20.0","1","1","0","0","1","19","9","2","20","10","1.43","8.80","4.57","4.14","4.44","","0.0","0.0","","999.0","sa3005362"
"Edwin Uceta","ARI","0","4","4.0","0","0","0","0","1","4","2","1","4","2","1.39","9.30","4.06","4.48","4.46","","0.0","0.0","","999.0","20539"
"Justin Bruihl","LAD","0","44","44.0","2","2","0","0","4","44","21","6","40","18","1.40","8.17","3.67","4.34","4.55","","0.0","0.0","","999.0","23779"
"Nick Burdi","SDP","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.25","11.31","3.93","3.64","3.69","","0.0","0.1","","999.0","16074"
"Peter Solomon","HOU","0","11","11.0","1","1","0","0","1","10","5","2","11","4","1.35","8.81","3.68","4.38","4.54","","0.0","0.0","","999.0","20476"
"Tejay Antone","CIN","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.30","10.13","3.65","3.92","3.95","","0.0","0.1","","599.0","16233"
"Adam Cimber","TOR","0","68","68.0","3","3","0","1","13","72","34","9","49","22","1.38","6.53","2.91","4.45","4.60","","0.0","0.3","","600.9","15288"
"Blake Taylor","HOU","0","58","58.0","3","3","0","0","11","56","29","8","54","27","1.44","8.38","4.23","4.47","4.72","","0.0","0.0","","999.0","16418"
"Scott Effross","CHC","0","62","62.0","3","3","0","0","16","64","31","9","52","21","1.37","7.53","3.01","4.45","4.48","","0.0","0.1","","601.0","18384"
"Dietrich Enns","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.25","9.18","2.91","3.85","4.04","","0.0","0.1","","999.0","13932"
"Andre Jackson","LAD","6","16","47.0","2","3","2","0","1","49","27","9","39","20","1.47","7.48","3.82","5.25","5.39","","0.0","-0.1","","598.9","21298"
"Jimmy Nelson","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.34","10.23","4.28","4.02","4.06","","0.0","0.1","","999.0","10547"
"Carlos Estévez","COL","0","63","63.0","3","3","0","19","5","67","36","11","62","23","1.43","8.82","3.32","5.12","4.71","","0.0","0.0","","436.8","14542"
"Sam Moll","OAK","0","56","56.0","3","3","0","0","10","51","25","6","55","27","1.40","8.86","4.32","4.01","4.29","","0.0","0.3","","999.0","14874"
"Albert Abreu","NYY","0","42","42.0","2","2","0","0","1","39","21","6","45","22","1.43","9.70","4.62","4.47","4.60","","0.0","0.1","","999.0","17485"
"Mark Leiter Jr.","CHC","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.26","8.99","2.73","4.09","4.07","","0.0","0.1","","999.0","15551"
"Neftalí Feliz","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.31","9.84","3.63","4.23","4.27","","0.0","0.0","","999.0","18"
"Anderson Espinoza","CHC","0","10","10.0","0","1","0","0","1","9","5","1","10","5","1.43","9.29","4.43","4.49","4.55","","0.0","0.0","","999.0","sa872856"
"Richard Lovelady","KCR","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.37","8.60","3.82","3.99","4.12","","0.0","0.1","","999.0","19337"
"Ty Buttrey","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.30","8.82","3.16","4.05","4.15","","0.0","0.1","","999.0","14719"
"Sam Delaplane","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.32","10.14","3.91","4.06","4.13","","0.0","0.1","","999.0","sa3004222"
"Chaz Roe","","0","45","45.0","2","2","0","0","0","43","22","6","44","20","1.40","8.86","4.01","4.42","4.45","","0.0","0.0","","999.0","9866"
"Josh Lindblom","MIL","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.22","8.96","2.35","4.28","4.33","","0.0","0.0","","999.0","7882"
"Trevor Megill","MIN","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.34","9.65","3.73","4.19","4.13","","0.0","0.0","","600.7","17722"
"Brandon Morrow","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.32","9.10","3.45","4.10","4.16","","0.0","0.1","","999.0","9346"
"Evan Marshall","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.36","8.59","3.56","4.19","4.25","","0.0","0.0","","999.0","12297"
"Roberto Osuna","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.27","8.63","2.78","4.15","4.16","","0.0","0.1","","598.6","13764"
"Shun Yamaguchi","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.31","9.83","3.65","4.12","4.16","","0.0","0.1","","999.0","27460"
"Cody Reed","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.36","8.82","3.77","3.95","4.06","","0.0","0.1","","999.0","15232"
"Fernando Romero","MIN","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.39","8.87","3.83","4.20","4.18","","0.0","0.0","","999.0","15885"
"JoJo Romero","PHI","0","9","9.0","0","0","0","0","1","9","4","1","8","4","1.37","8.41","3.68","4.25","4.52","","0.0","0.0","","999.0","19574"
"Gerardo Reyes","LAA","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.30","10.19","3.75","4.14","4.24","","0.0","0.1","","999.0","16306"
"Tony Cingrani","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.33","9.60","3.78","3.99","4.20","","0.0","0.1","","999.0","12555"
"DJ Johnson","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.33","9.44","3.79","4.03","4.11","","0.0","0.1","","999.0","12578"
"Joe Palumbo","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.36","10.31","4.36","4.03","4.21","","0.0","0.1","","598.9","17035"
"Chase Lee","TEX","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.33","9.57","3.71","4.09","4.14","","0.0","0.1","","999.0","sa3016946"
"Dusty Isaacs","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.33","9.20","3.50","4.20","4.22","","0.0","0.0","","999.0","sa550364"
"Daniel Robert","TEX","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.32","9.45","3.52","4.08","4.14","","0.0","0.1","","999.0","sa3009856"
"Ryan Weber","SEA","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.24","7.47","2.04","3.91","4.04","","0.0","0.1","","999.0","10160"
"Chris Mazza","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.30","8.10","3.05","4.06","4.23","","0.0","0.1","","999.0","14151"
"Zack Britton","NYY","0","1","1.0","0","0","0","0","0","1","0","0","1","1","1.50","7.95","4.72","3.87","4.23","","0.0","0.1","","999.0","3240"
"Brady Feigl","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.34","8.92","3.51","4.13","4.24","","0.0","0.1","","999.0","sa824867"
"Bennett Sousa","CHW","0","10","10.0","0","0","0","0","1","9","5","2","10","4","1.38","8.99","3.93","4.38","4.67","","0.0","0.0","","999.0","sa913181"
"Rubby De La Rosa","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.33","9.29","3.54","4.24","4.26","","0.0","0.0","","999.0","3862"
"Rico Garcia","BAL","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.37","8.59","3.66","4.42","4.56","","0.0","0.0","","999.0","20023"
"Zack Kelly","BOS","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.38","8.90","3.77","4.27","4.21","","0.0","0.0","","999.0","sa3004118"
"Indigo Diaz","ATL","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.35","10.07","3.98","4.19","4.17","","0.0","0.1","","999.0","sa3011726"
"Scott Alexander","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.47","6.75","3.92","4.10","4.33","","0.0","0.0","","999.0","10591"
"R.J. Dabovich","SFG","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.34","10.05","4.16","4.05","4.06","","0.0","0.1","","999.0","sa3014431"
"Andrew Vasquez","","0","1","1.0","0","0","0","0","0","1","0","0","1","1","1.42","9.78","4.84","3.89","4.18","","0.0","0.1","","999.0","19482"
"Ian Hamilton","MIN","0","1","1.0","0","0","0","0","0","1","0","0","1","1","1.43","9.55","4.60","4.26","4.30","","0.0","0.0","","999.0","19261"
"Nick Vespi","BAL","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.43","8.36","4.15","4.32","4.59","","0.0","0.0","","999.0","sa875778"
"Luis Avilán","WSN","0","26","26.0","1","1","0","0","1","27","14","4","22","11","1.48","7.70","3.97","4.79","4.86","","0.0","-0.1","","999.0","2882"
"Kyuji Fujikawa","","0","1","1.0","0","0","0","0","0","1","0","0","1","1","1.42","10.39","4.95","4.20","4.30","","0.0","0.0","","999.0","14443"
"Aaron Wilkerson","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.24","8.87","2.62","4.23","4.30","","0.0","0.0","","999.0","16904"
"Colin Rea","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.33","7.40","2.74","4.44","4.50","","0.0","0.0","","999.0","12317"
"Matt Dermody","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.34","8.91","3.47","4.25","4.34","","0.0","0.0","","999.0","14844"
"Edwar Colina","TEX","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.33","9.32","3.60","4.13","4.22","","0.0","0.1","","999.0","20589"
"Michel Baez","SDP","0","4","4.0","0","0","0","0","1","4","2","1","4","2","1.37","9.20","4.09","4.29","4.43","","0.0","0.0","","999.0","20100"
"Zach Jackson","OAK","0","4","4.0","0","0","0","0","1","4","2","1","4","2","1.37","9.16","4.25","4.10","4.34","","0.0","0.0","","999.0","sa874174"
"Shawn Armstrong","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.30","9.25","3.31","4.30","4.33","","0.0","0.0","","999.0","12857"
"Danny Hultzen","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.37","9.54","4.16","4.13","4.31","","0.0","0.1","","999.0","12874"
"Travis Radke","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.42","7.88","3.82","4.12","4.31","","0.0","0.1","","999.0","sa602806"
"Tayler Scott","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.40","8.67","3.98","4.23","4.33","","0.0","0.0","","999.0","13652"
"César Valdez","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.33","7.20","2.53","4.20","4.23","","0.0","0.0","","600.5","9013"
"Jimmy Cordero","NYY","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.41","7.88","3.62","4.30","4.42","","0.0","0.0","","999.0","15690"
"Tyler Higgins","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.33","8.73","3.22","4.32","4.34","","0.0","0.0","","999.0","sa503722"
"Sam Dyson","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.39","7.35","3.11","4.36","4.35","","0.0","0.0","","999.0","11710"
"Jacob Waguespack","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.34","8.16","3.19","4.27","4.35","","0.0","0.0","","999.0","18318"
"J.C. Mejía","MIL","3","45","59.0","3","3","1","0","4","59","31","9","55","25","1.43","8.31","3.87","4.67","4.74","","0.0","0.1","","999.0","20617"
"Cooper Criswell","LAA","0","4","4.0","0","0","0","0","1","4","2","1","3","1","1.27","7.44","2.19","4.32","4.45","","0.0","0.0","","999.0","24975"
"Kyle Cody","TEX","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.34","9.13","3.59","4.24","4.27","","0.0","0.0","","999.0","19686"
"Ryan Madson","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.35","7.99","3.14","4.38","4.38","","0.0","0.0","","999.0","1852"
"Luiz Gohara","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.34","10.07","3.99","4.27","4.38","","0.0","0.0","","999.0","15166"
"Jackson Rees","TOR","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.39","8.72","3.94","4.27","4.36","","0.0","0.0","","999.0","sa3007818"
"Dusten Knight","","0","1","1.0","0","0","0","0","0","1","1","0","1","0","1.44","7.60","3.84","4.72","4.90","","0.0","0.0","","999.0","16537"
"Ricardo Sánchez","STL","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.34","7.56","3.28","3.94","4.28","","0.0","0.1","","999.0","17581"
"José De León","TOR","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.36","10.29","4.36","4.29","4.39","","0.0","0.0","","600.0","15463"
"Yerry De Los Santos","PIT","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.39","8.48","3.91","4.25","4.38","","0.0","0.0","","999.0","sa873562"
"Michael Kohn","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.37","9.53","3.90","4.43","4.35","","0.0","0.0","","999.0","8505"
"Austin Pruitt","","0","1","1.0","0","0","0","0","0","1","1","0","1","0","1.36","7.06","2.65","4.51","4.50","","0.0","0.0","","999.0","15290"
"Peter Tago","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.40","8.57","3.87","4.34","4.42","","0.0","0.0","","999.0","sa548162"
"Carson Smith","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.40","8.27","3.68","4.41","4.42","","0.0","0.0","","999.0","13172"
"Hunter Cervenka","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.41","9.08","4.33","4.19","4.42","","0.0","0.0","","999.0","10510"
"Ryan Conroy","BAL","0","1","1.0","0","0","0","0","0","1","1","0","1","0","1.47","7.02","3.89","4.55","4.73","","0.0","0.0","","999.0","sa3007906"
"Jeremy Walker","SFG","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.37","7.25","3.09","4.17","4.20","","0.0","0.0","","999.0","19981"
"Enny Romero","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.36","9.50","3.83","4.35","4.43","","0.0","0.0","","999.0","4001"
"David Sosebee","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.39","8.90","3.90","4.39","4.43","","0.0","0.0","","999.0","sa602907"
"Ray Black","MIL","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.37","9.97","4.18","4.38","4.46","","0.0","0.0","","999.0","14244"
"Edgar Santana","","0","1","1.0","0","0","0","0","0","1","1","0","1","0","1.37","7.56","3.06","4.57","4.63","","0.0","0.0","","999.0","17355"
"Colby White","TBR","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.32","9.88","4.03","4.06","4.23","","0.0","0.1","","999.0","sa3011200"
"Dylan Covey","BOS","0","1","1.0","0","0","0","0","0","1","1","0","1","0","1.40","7.21","2.89","4.57","4.40","","0.0","0.0","","999.0","14825"
"Brailyn Márquez","CHC","0","1","1.0","0","0","0","0","0","1","0","0","1","1","1.45","9.46","4.88","4.28","4.49","","0.0","0.0","","599.5","21896"
"Luis Perdomo","MIL","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.42","7.59","3.46","4.44","4.48","","0.0","0.0","","999.0","14682"
"Yacksel Ríos","CHW","0","1","1.0","0","0","0","0","0","1","1","0","1","0","1.41","8.83","4.17","4.53","4.79","","0.0","0.0","","999.0","15007"
"John Axford","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.39","8.29","3.68","4.32","4.36","","0.0","0.0","","999.0","9059"
"Ben Heller","ARI","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.39","8.68","3.68","4.49","4.40","","0.0","0.0","","999.0","15100"
"Matt Gage","TOR","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.35","8.14","3.37","4.21","4.43","","0.0","0.0","","999.0","sa827398"
"Paco Rodríguez","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.35","7.88","3.35","4.15","4.40","","0.0","0.1","","999.0","13398"
"Erubiel Armenta","PHI","0","1","1.0","0","0","0","0","0","1","0","0","1","1","1.43","9.86","4.79","4.29","4.56","","0.0","0.0","","999.0","sa3015125"
"Víctor Arano","WSN","0","12","12.0","1","1","0","0","1","12","6","2","12","5","1.41","8.79","3.83","4.68","4.66","","0.0","0.0","","999.0","15915"
"Ryan Cook","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.38","8.60","3.66","4.44","4.47","","0.0","0.0","","999.0","8855"
"Jayson McKinley","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.42","9.05","4.13","4.47","4.40","","0.0","0.0","","999.0","sa920921"
"Tyler Chatwood","","0","1","1.0","0","0","0","0","0","1","0","0","1","1","1.47","9.08","4.85","4.20","4.37","","0.0","0.0","","999.0","4338"
"John Curtiss","","0","1","1.0","0","0","0","0","0","1","1","0","1","0","1.35","8.56","3.39","4.51","4.55","","0.0","0.0","","999.0","16128"
"Dan Altavilla","","0","1","1.0","0","0","0","0","0","1","0","0","1","1","1.38","10.12","4.51","4.29","4.37","","0.0","0.0","","999.0","16507"
"Brendan McCurry","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.37","8.93","3.79","4.41","4.48","","0.0","0.0","","999.0","sa829486"
"Boone Logan","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.40","9.02","4.12","4.30","4.48","","0.0","0.0","","999.0","5525"
"Chris Rodriguez","LAA","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.40","8.65","4.00","4.28","4.41","","0.0","0.0","","999.0","22310"
"Bruce Rondón","","0","1","1.0","0","0","0","0","0","1","0","0","1","1","1.43","9.31","4.54","4.40","4.48","","0.0","0.0","","999.0","5766"
"Josh Dye","KCR","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.43","7.61","3.93","4.30","4.49","","0.0","0.0","","999.0","sa3007485"
"Jairo Díaz","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.40","8.36","3.82","4.41","4.49","","0.0","0.0","","999.0","12774"
"Joakim Soria","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.32","8.83","3.25","4.35","4.39","","0.0","0.0","","999.0","6941"
"Jesse Biddle","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.43","9.08","4.48","4.18","4.38","","0.0","0.0","","999.0","11437"
"Michael Kelly","PHI","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.36","8.93","3.68","4.45","4.59","","0.0","0.0","","999.0","sa597767"
"Dan Otero","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.41","5.68","2.38","4.47","4.49","","0.0","0.0","","999.0","7385"
"Bud Norris","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.38","8.70","3.61","4.45","4.49","","0.0","0.0","","999.0","9492"
"Ryan Hartman","BAL","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.32","7.45","2.67","4.47","4.71","","0.0","0.0","","999.0","19480"
"Adam Conley","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.41","8.65","4.07","4.50","4.70","","0.0","0.0","","999.0","14457"
"Joey Murray","TOR","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.34","9.30","3.74","4.35","4.47","","0.0","0.0","","999.0","sa3007234"
"Evan Miller","SDP","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.40","7.69","3.65","4.31","4.44","","0.0","0.0","","999.0","sa915725"
"Andres Nunez","KCR","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.42","7.47","3.70","4.45","4.51","","0.0","0.0","","999.0","sa3006796"
"Ian Gibaut","","0","1","1.0","0","0","0","0","0","1","1","0","1","0","1.45","8.39","4.28","4.51","4.63","","0.0","0.0","","999.0","17871"
"Matt Andriese","SEA","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.31","8.39","3.02","4.18","4.30","","0.0","0.0","","999.0","12022"
"Tyler Cyr","PHI","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.43","8.88","4.36","4.43","4.61","","0.0","0.0","","999.0","sa875270"
"Tyler Spurlin","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.41","8.28","3.73","4.47","4.51","","0.0","0.0","","999.0","sa739833"
"Shawn Morimando","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.38","7.87","3.36","4.37","4.51","","0.0","0.0","","999.0","13606"
"Nick Gardewine","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.40","8.73","3.94","4.45","4.51","","0.0","0.0","","999.0","16513"
"Vinny Nittoli","NYY","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.35","8.38","3.19","4.40","4.50","","0.0","0.0","","999.0","16754"
"Luis Vasquez","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.42","9.36","4.48","4.43","4.52","","0.0","0.0","","999.0","sa393198"
"Artie Lewicki","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.36","8.22","3.30","4.49","4.52","","0.0","0.0","","999.0","16731"
"Ronald Belisario","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.41","7.13","3.20","4.49","4.52","","0.0","0.0","","999.0","2203"
"Rob Kaminsky","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.45","8.09","4.14","4.32","4.52","","0.0","0.0","","999.0","15792"
"Parker Markel","","0","1","1.0","0","0","0","0","0","1","0","0","1","1","1.46","10.27","5.36","4.34","4.52","","0.0","0.0","","999.0","12106"
"Gerardo Carrillo","WSN","2","12","19.0","1","1","1","0","1","20","11","3","16","10","1.55","7.52","4.66","5.06","5.13","","0.0","-0.1","","999.0","sa3002790"
"Vince Arobio","CHW","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.42","8.59","4.14","4.46","4.66","","0.0","0.0","","999.0","sa918614"
"Tyler Burch","BAL","0","1","1.0","0","0","0","0","0","1","1","0","1","0","1.41","8.20","3.79","4.71","4.84","","0.0","0.0","","999.0","sa1172727"
"Aaron Pinto","CLE","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.35","8.96","3.64","4.35","4.44","","0.0","0.0","","999.0","sa3006823"
"Taylor Floyd","MIL","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.43","9.11","4.41","4.42","4.55","","0.0","0.0","","999.0","sa3011367"
"Andrew Istler","WSN","0","1","1.0","0","0","0","0","0","1","1","0","1","0","1.41","8.60","3.85","4.62","4.64","","0.0","0.0","","999.0","sa827457"
"Chris Lee","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.45","8.31","4.23","4.34","4.53","","0.0","0.0","","999.0","sa550044"
"Blaine Hardy","","0","1","1.0","0","0","0","0","0","1","1","0","1","0","1.41","7.32","3.39","4.52","4.73","","0.0","0.0","","999.0","6499"
"Alex McRae","","0","1","1.0","0","0","0","0","0","1","1","0","1","0","1.44","7.28","3.58","4.64","4.73","","0.0","0.0","","999.0","16317"
"Joe Biagini","","0","1","1.0","0","0","0","0","0","1","1","0","1","0","1.45","7.06","3.55","4.67","4.73","","0.0","0.0","","999.0","13194"
"Ben Onyshko","SEA","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.41","8.68","4.33","4.08","4.43","","0.0","0.1","","999.0","sa3008096"
"Will Kincanon","CHW","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.45","8.68","4.43","4.45","4.67","","0.0","0.0","","999.0","sa918672"
"John Gorman","","0","1","1.0","0","0","0","0","0","1","1","0","1","0","1.39","8.58","3.70","4.51","4.54","","0.0","0.0","","999.0","sa602627"
"Jeremy Jeffress","","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.43","7.59","3.68","4.45","4.54","","0.0","0.0","","999.0","9490"
"Charles Hall","OAK","0","1","1.0","0","0","0","0","0","1","0","0","1","0","1.38","8.01","3.80","4.20","4.40","","0.0","0.0","","999.0","sa1170906"
