"Name","Team","GS","G","IP","W","L","QS","SV","HLD","H","ER","HR","SO","BB","WHIP","K/9","BB/9","ERA","FIP","-1","WAR","RA9-WAR","-1","ADP","playerid"
"Logan Webb","SFG","32","32","189.0","12","11","18","0","0","181","77","17","179","59","1.27","8.52","2.80","3.66","3.55","","3.4","3.2","","65.2","17995"
"Framber Valdez","HOU","31","31","191.0","13","9","19","0","0","180","76","16","177","78","1.35","8.34","3.66","3.58","3.77","","3.3","3.9","","146.1","17295"
"Lance Lynn","CHW","31","31","187.0","12","10","17","0","0","170","83","29","201","58","1.22","9.67","2.81","4.00","4.06","","3.3","3.2","","67.6","2520"
"Chris Sale","BOS","28","28","157.0","11","8","15","0","0","133","62","20","193","46","1.14","11.03","2.65","3.57","3.44","","3.3","3.9","","57.6","10603"
"Lucas Giolito","CHW","31","31","184.0","12","10","16","0","0","162","82","30","208","60","1.21","10.20","2.93","4.01","4.08","","3.3","3.1","","45.2","15474"
"Charlie Morton","ATL","29","29","169.0","11","9","16","0","0","152","69","20","186","54","1.21","9.92","2.85","3.70","3.62","","3.2","3.4","","96.8","4676"
"Sean Manaea","OAK","31","31","179.0","11","10","17","0","0","164","73","24","179","44","1.16","8.99","2.22","3.65","3.75","","3.1","3.4","","148.0","15873"
"José Berríos","TOR","32","32","196.0","13","10","18","0","0","182","86","27","201","55","1.22","9.25","2.55","3.96","3.95","","3.1","3.8","","79.4","14168"
"Luis Castillo","CIN","32","32","192.0","12","11","17","0","0","183","88","26","198","73","1.33","9.26","3.40","4.12","4.10","","3.1","3.1","","91.7","15689"
"Kevin Gausman","TOR","32","32","188.0","13","10","17","0","0","172","82","28","205","53","1.19","9.79","2.54","3.93","3.88","","3.1","3.8","","71.0","14107"
"Shohei Ohtani","LAA","28","28","165.0","11","8","16","0","0","142","68","22","192","57","1.21","10.48","3.13","3.70","3.76","","3.1","3.4","","8.6","19755"
"Frankie Montas","OAK","31","31","179.0","11","10","17","0","0","160","74","23","189","55","1.20","9.52","2.77","3.71","3.75","","3.1","3.3","","93.0","14309"
"Walker Buehler","LAD","32","32","198.0","13","10","18","0","0","189","91","30","203","57","1.24","9.23","2.61","4.11","4.06","","3.1","2.6","","17.5","19374"
"Dylan Cease","CHW","31","31","170.0","11","10","14","0","0","144","76","26","204","68","1.25","10.83","3.63","4.04","4.08","","3.0","2.8","","85.0","18525"
"Sandy Alcantara","MIA","32","32","200.0","12","11","19","0","0","189","86","24","191","61","1.25","8.58","2.75","3.86","3.87","","3.0","2.9","","43.3","18684"
"Clayton Kershaw","","26","26","148.0","10","8","13","0","0","141","61","21","151","35","1.19","9.16","2.14","3.72","3.74","","2.8","2.9","","171.7","2036"
"John Means","BAL","29","29","172.0","10","11","14","0","0","168","82","31","158","39","1.21","8.29","2.05","4.29","4.47","","2.8","2.7","","220.9","16269"
"Max Fried","ATL","31","31","185.0","12","10","17","0","0","182","79","23","174","56","1.29","8.49","2.72","3.87","3.91","","2.8","3.3","","73.9","13743"
"Joe Musgrove","SDP","31","31","182.0","12","10","16","0","0","168","80","25","187","55","1.22","9.21","2.70","3.93","3.99","","2.8","2.6","","78.0","12970"
"Michael Kopech","CHW","23","43","145.0","10","8","10","0","1","120","62","21","179","52","1.19","11.14","3.25","3.83","3.83","","2.7","2.6","","168.0","17282"
"Pablo López","MIA","29","29","166.0","10","10","15","0","0","153","69","20","165","47","1.21","8.96","2.55","3.74","3.79","","2.7","2.7","","138.7","17085"
"Yu Darvish","SDP","29","29","169.0","11","10","14","0","0","152","77","26","187","50","1.19","9.96","2.65","4.09","3.99","","2.6","2.2","","101.2","13074"
"Freddy Peralta","MIL","29","29","163.0","10","10","13","0","0","136","75","25","199","69","1.26","10.98","3.82","4.12","4.19","","2.6","2.6","","56.7","18679"
"Blake Snell","SDP","29","29","158.0","11","9","14","0","0","133","66","20","189","69","1.28","10.74","3.92","3.78","3.86","","2.6","2.6","","115.6","13543"
"Lance McCullers Jr.","HOU","26","26","147.0","10","8","13","0","0","131","60","16","159","59","1.29","9.73","3.62","3.68","3.76","","2.6","2.8","","171.5","14120"
"Jordan Montgomery","NYY","29","29","164.0","11","9","14","0","0","157","75","24","163","53","1.28","8.96","2.89","4.09","4.14","","2.6","2.6","","214.2","16511"
"Shane McClanahan","TBR","28","28","159.0","11","8","15","0","0","139","64","19","174","56","1.22","9.82","3.15","3.60","3.72","","2.6","3.1","","112.3","21483"
"Julio Urías","LAD","32","32","187.0","12","10","16","0","0","179","87","31","186","52","1.24","8.96","2.51","4.19","4.26","","2.5","2.3","","37.9","14765"
"Germán Márquez","COL","32","32","193.0","10","13","14","0","0","212","105","30","178","64","1.43","8.29","2.99","4.89","4.44","","2.5","2.3","","260.3","15038"
"Chris Bassitt","OAK","31","31","186.0","11","11","17","0","0","175","83","25","175","53","1.22","8.47","2.55","4.01","4.05","","2.5","2.8","","138.9","12304"
"Trevor Rogers","MIA","28","28","154.0","10","9","14","0","0","134","63","19","168","55","1.23","9.83","3.21","3.69","3.79","","2.4","2.6","","96.4","22286"
