playerid,Name,OttoneuID,FG MinorLeagueID,MLB Org,Position(s),Avg Salary,Median Salary,Min Salary,Max Salary,Last 10,Roster%
14696.0,Keone Kela,18432,sa602412,FA,RP,$4.78,$4.00,$3,$9,$1.30,2.687
19312.0,Cal Quantrill,23629,sa738477,CLE,SP/RP,$4.77,$4.00,$3,$12,$4.20,68.06
16094.0,Zach Thompson,29679,sa602893,PIT,SP/RP,$4.77,$4.00,$1,$13,$2.60,14.03
sa3010022,Marco Luciano,33646,sa3010022,SFG A+,SS,$4.76,$5.00,$1,$12,$5.00,77.313
19960.0,Taylor Trammell,23750,sa917943,SEA AAA,OF,$4.76,$5.00,$1,$9,$1.50,21.493000000000002
19734.0,Josh Rojas,31853,sa913302,ARI,2B/SS/3B/OF,$4.76,$4.00,$3,$11,$3.50,52.239
15608.0,Willians Astudillo,9535,sa504866,FA,C/1B/3B,$4.75,$3.50,$2,$9,$1.30,2.388
12158.0,Austin Barnes,18410,sa578958,LAD,C,$4.75,$4.00,$3,$9,$1.20,2.388
21711.0,Oneil Cruz,32291,sa917318,PIT,SS,$4.74,$4.00,$1,$18,$4.30,75.22399999999999
16794.0,Josh James,21551,sa829673,HOU AAA,RP,$4.71,$4.00,$3,$10,$1.20,2.09
15514.0,Kendall Graveman,18409,sa621489,CHW,RP,$4.71,$4.00,$3,$9,$2.40,45.672
24580.0,Josiah Gray,33683,sa3007475,WSN,SP,$4.71,$4.00,$1,$15,$4.20,82.38799999999999
17423.0,Yermin Mercedes,28469,sa597096,CHW AAA,Util,$4.71,$4.00,$3,$8,$2.30,5.075
19844.0,Abraham Toro,32630,sa918020,SEA,2B/3B,$4.70,$4.00,$3,$22,$4.00,31.343000000000004
12297.0,Evan Marshall,18426,sa597833,CHW AAA,RP,$4.70,$3.50,$3,$9,$2.20,2.985
6941.0,Joakim Soria,15273,sa202799,FA,RP,$4.70,$4.50,$3,$8,$2.80,2.985
10472.0,Enrique Hernandez,11508,sa501542,BOS,2B/OF,$4.70,$4.00,$3,$13,$3.30,88.35799999999999
13050.0,Anthony Desclafani,18419,sa455459,SFG,SP,$4.70,$4.00,$3,$13,$5.00,84.77600000000001
sa3014696,Jasson Dominguez,37635,sa3014696,NYY A,OF,$4.68,$4.00,$2,$15,$4.70,65.373
9077.0,Lorenzo Cain,1692,sa285710,MIL,OF,$4.68,$3.00,$3,$14,$1.40,9.254
4301.0,Justin Wilson,5053,sa454547,CIN,RP,$4.67,$5.00,$3,$6,$1.50,0.8959999999999999
14506.0,J.B. Wendelken,30624,sa658247,ARI,RP,$4.67,$4.00,$3,$8,$1.30,1.791
13911.0,Scott Oberg,23778,sa526291,COL,RP,$4.67,$5.00,$2,$7,$1.90,0.8959999999999999
9761.0,Joe Kelly,6292,sa501235,FA,RP,$4.67,$4.00,$3,$9,$1.20,1.791
19953.0,Josh Lowe,23752,sa917926,TBR AAA,OF,$4.66,$4.00,$1,$15,$3.70,74.03
21479.0,Nico Hoerner,33627,sa3007867,CHC,2B/SS,$4.65,$4.00,$3,$11,$2.40,42.388000000000005
5343.0,Brandon Crawford,5071,sa454517,SFG,SS,$4.63,$4.00,$3,$10,$4.30,89.851
27468.0,Reid Detmers,38328,sa3014425,LAA,SP,$4.63,$4.00,$3,$10,$2.90,57.313
19990.0,Bryse Wilson,32589,sa917958,PIT,SP,$4.63,$4.50,$3,$8,$2.00,2.388
16530.0,Mauricio Dubon,19649,sa738378,SFG AAA,2B/SS/3B/OF,$4.63,$3.00,$3,$9,$2.10,2.388
16909.0,Colin Moran,18247,sa621019,FA,1B,$4.61,$3.50,$3,$10,$2.00,5.372999999999999
16578.0,Yandy Diaz,18517,sa823741,TBR,1B/3B,$4.61,$3.50,$3,$14,$1.60,24.478
16542.0,Shed Long Jr.,19768,sa738578,FA,2B/OF,$4.60,$5.00,$3,$7,$1.80,1.493
9817.0,Sergio Romo,4103,sa293981,FA,RP,$4.60,$4.00,$3,$8,$1.10,1.493
16153.0,Austin Slater,23784,sa602692,SFG,OF,$4.60,$4.00,$3,$9,$1.50,4.478
19677.0,Gregory Soto,19136,sa737262,DET,RP,$4.60,$4.00,$3,$15,$2.60,61.791000000000004
13361.0,Steven Matz,13962,sa500832,STL,SP,$4.60,$4.00,$3,$12,$2.00,51.94
19627.0,Brent Rooker,23793,sa3003172,MIN,OF,$4.58,$5.00,$1,$7,$1.70,3.582
19665.0,Kyle Wright,23791,sa874117,ATL AAA,SP/RP,$4.58,$4.00,$3,$9,$1.90,5.672000000000001
13620.0,Carson Kelly,23714,sa657963,ARI,C,$4.58,$4.00,$3,$17,$2.30,57.91
19447.0,Patrick Sandoval,22876,sa875337,LAA,SP,$4.56,$4.00,$3,$13,$4.40,81.493
19249.0,Seranthony Dominguez,30196,sa657573,PHI,RP,$4.55,$3.00,$3,$11,$1.40,3.284
5254.0,Robbie Grossman,5031,sa454705,DET,OF,$4.54,$4.00,$3,$15,$3.70,82.09
18331.0,James Kaprielian,23570,sa658943,OAK,SP,$4.53,$4.00,$3,$9,$3.10,34.03
11342.0,Jesus Aguilar,9974,sa505981,MIA,1B,$4.53,$5.00,$3,$11,$3.30,28.955
15518.0,Amed Rosario,18303,sa732115,CLE,SS/OF,$4.53,$4.00,$3,$18,$2.60,70.44800000000001
17838.0,Willie Calhoun,18560,sa738175,TEX,OF,$4.52,$3.50,$3,$16,$2.40,24.478
4020.0,Yusmeiro Petit,1128,sa244136,FA,RP,$4.52,$3.00,$3,$11,$1.40,6.269
14712.0,Manuel Margot,18280,sa657504,TBR,OF,$4.52,$4.00,$3,$9,$1.70,20.0
18030.0,Harrison Bader,21968,sa857218,STL,OF,$4.52,$4.00,$3,$11,$4.60,57.313
sa3014454,Austin Martin,38323,sa3014454,MIN AA,SS/OF,$4.51,$4.00,$2,$12,$2.40,56.716
13470.0,Lucas Sims,18173,sa657914,CIN,RP,$4.50,$4.00,$3,$12,$2.10,63.881
17216.0,Monte Harrison,20928,sa828691,MIA AAA,OF,$4.50,$4.50,$3,$6,$1.80,0.597
9345.0,Brock Holt,8668,sa501543,FA,3B,$4.50,$4.50,$3,$6,$1.70,0.597
16401.0,Yonny Chirinos,18753,sa735855,TBR,RP,$4.50,$4.00,$3,$7,$2.00,1.194
19362.0,Keegan Akin,31714,sa873980,BAL,SP/RP,$4.50,$5.00,$3,$6,$1.90,1.791
19956.0,Mickey Moniak,23639,sa917920,PHI AAA,OF,$4.50,$3.00,$3,$9,$1.60,1.194
23779.0,Justin Bruihl,34734,sa3006814,LAD,RP,$4.50,$4.50,$3,$6,$2.20,0.597
15694.0,Chance Sisco,18451,sa737615,NYM AAA,C,$4.50,$4.50,$4,$5,$1.60,0.597
18555.0,Logan Allen,22763,sa875192,CLE,SP,$4.50,$4.50,$3,$6,$1.30,1.194
13853.0,Joey Wendle,23710,sa658022,MIA,2B/SS/3B,$4.50,$4.00,$3,$10,$2.30,23.284000000000002
8223.0,Brett Anderson,2956,sa326529,FA,SP,$4.50,$4.50,$3,$6,$1.20,0.597
9939.0,Brandon Kintzler,5183,sa254178,FA,RP,$4.50,$4.50,$3,$6,$1.90,1.194
15855.0,Wander Suero,13190,sa548041,WSN AAA,RP,$4.50,$4.50,$3,$6,$1.40,0.597
10071.0,Jonathan Villar,16089,sa503851,FA,2B/SS/3B,$4.50,$4.00,$3,$12,$2.80,17.91
21052.0,Luis Gil,23373,sa877821,NYY AAA,SP,$4.48,$4.00,$3,$15,$4.30,37.611999999999995
sa3010152,CJ Abrams,36922,sa3010152,SDP AA,SS,$4.48,$4.00,$1,$14,$4.10,90.149
7274.0,Craig Stammen,2082,sa291777,SDP,RP,$4.48,$4.00,$3,$8,$1.40,7.462999999999999
14542.0,Carlos Estevez,23613,sa598491,COL,RP,$4.48,$3.00,$3,$12,$1.80,6.8660000000000005
3542.0,Danny Duffy,7962,sa390368,FA,SP,$4.48,$4.00,$3,$15,$2.30,13.731
sa917930,Forrest Whitley,23746,sa917930,HOU,Util,$4.48,$4.00,$2,$11,$1.70,19.403
2233.0,Adam Wainwright,8739,sa184098,STL,SP,$4.48,$4.00,$3,$19,$3.70,83.28399999999999
13892.0,Paul Sewald,23838,sa658150,SEA,RP,$4.48,$4.00,$3,$11,$3.20,78.507
17578.0,JT Brubaker,22753,sa875176,PIT,SP,$4.47,$4.00,$3,$8,$1.90,5.075
20202.0,Brandon Marsh,23868,sa917944,LAA,OF,$4.47,$4.00,$1,$10,$3.00,70.149
22217.0,Luis Campusano,26404,sa3004041,SDP AAA,C,$4.47,$4.00,$3,$14,$2.90,46.567
10556.0,Cesar Hernandez,9092,sa503285,WSN,2B,$4.46,$3.50,$3,$12,$2.20,16.715999999999998
6986.0,Ian Kennedy,2162,sa326484,FA,RP,$4.46,$4.00,$3,$8,$2.40,14.925
13218.0,Michael Fulmer,18502,sa597764,DET,RP,$4.45,$4.00,$3,$20,$3.00,31.343000000000004
11265.0,Jonathan Schoop,10763,sa507129,DET,1B/2B,$4.45,$4.00,$3,$15,$3.40,74.328
14078.0,Michael Wacha,18171,sa621625,BOS,SP/RP,$4.44,$3.00,$3,$12,$5.50,2.687
23550.0,Aaron Ashby,33672,sa3007225,MIL,SP/RP,$4.44,$4.00,$3,$11,$3.80,71.343
17620.0,Myles Straw,22922,sa875569,CLE,OF,$4.44,$4.00,$3,$11,$2.10,49.254
6562.0,Alex Cobb,17983,sa326698,SFG,SP,$4.44,$4.00,$3,$14,$4.70,61.493
5222.0,Justin Upton,2269,sa317008,LAA,OF,$4.43,$3.50,$3,$11,$2.30,8.955
16403.0,Francisco Mejia,19963,sa739565,TBR,C,$4.43,$3.00,$3,$20,$1.80,18.209
12532.0,Kolten Wong,18111,sa455324,MIL,2B,$4.42,$4.00,$3,$18,$2.40,74.925
21501.0,Trevor Larnach,33622,sa3008376,MIN AAA,OF,$4.42,$4.00,$1,$14,$2.60,45.373000000000005
1433.0,Wilson Ramos,4355,sa328504,FA,C,$4.42,$3.50,$3,$10,$1.30,3.582
4806.0,Rich Hill,5594,sa202788,BOS,SP,$4.41,$4.00,$3,$19,$1.80,15.224
10123.0,Kyle Gibson,4943,sa500733,PHI,SP,$4.41,$4.00,$3,$14,$2.60,45.075
19151.0,Estevan Florial,22663,sa874464,NYY AAA,OF,$4.40,$3.00,$3,$8,$1.20,4.478
11038.0,Kevin Kiermaier,14209,sa549853,TBR,OF,$4.40,$3.00,$3,$10,$1.20,1.493
6893.0,Johnny Cueto,1843,sa295352,FA,SP,$4.40,$3.00,$3,$16,$1.20,5.97
19753.0,Jonathan Loaisiga,19197,sa737372,NYY,RP,$4.40,$4.00,$3,$10,$3.10,82.09
12972.0,Joe Ross,18133,sa597788,WSN,SP,$4.38,$4.00,$3,$8,$2.10,3.8810000000000002
sa3004259,Royce Lewis,23796,sa3004259,MIN AA,Util,$4.38,$4.00,$2,$11,$3.00,48.358000000000004
13942.0,Brent Suter,23829,sa621681,MIL,RP,$4.38,$4.00,$3,$8,$1.20,2.388
21455.0,Kris Bubic,35566,sa3008128,KCR,SP/RP,$4.37,$4.00,$3,$8,$4.80,10.448
14916.0,Jon Gray,18244,sa549112,TEX,SP,$4.37,$4.00,$3,$15,$3.30,65.075
12095.0,Yimi Garcia,10429,sa506959,TOR,RP,$4.36,$4.00,$3,$8,$2.10,13.134
5760.0,Avisail Garcia,6091,sa497563,MIA,OF,$4.36,$4.00,$3,$19,$1.90,81.791
13359.0,Tyler Naquin,18169,sa502772,CIN,OF,$4.33,$4.00,$3,$9,$2.20,23.284000000000002
22343.0,A.J. Alexy,33198,sa919115,TEX,SP/RP,$4.33,$5.00,$3,$5,$1.50,1.791
14966.0,Reyes Moronta,28625,sa597322,SFG AAA,RP,$4.33,$3.00,$3,$9,$1.50,1.791
22487.0,Johan Oviedo,33424,sa922365,STL AAA,SP,$4.33,$3.00,$3,$7,$1.30,0.8959999999999999
15482.0,Aristides Aquino,23751,sa597058,CIN,OF,$4.33,$3.00,$3,$13,$1.20,2.687
12361.0,Spencer Patton,29023,sa598809,TEX,RP,$4.33,$3.00,$3,$7,$2.00,0.8959999999999999
23798.0,Randy Dobnak,27170,sa3005287,MIN,SP/RP,$4.33,$5.00,$3,$5,$1.20,0.8959999999999999
15010.0,Corey Knebel,18296,sa737537,PHI,RP,$4.33,$4.00,$3,$17,$2.80,57.611999999999995
13801.0,Austin Adams,30529,sa658119,SDP,RP,$4.32,$4.00,$3,$8,$1.90,9.254
20191.0,Garrett Whitlock,27185,sa3005306,BOS,RP,$4.32,$4.00,$3,$11,$2.20,79.70100000000001
19316.0,Eric Lauer,23696,sa738156,MIL,SP,$4.32,$4.00,$3,$11,$2.40,38.507
14523.0,Pedro Severino,23866,sa599084,MIL,C,$4.31,$4.50,$1,$7,$2.20,4.776
10815.0,Jurickson Profar,13702,sa549315,SDP,1B/2B/OF,$4.30,$5.00,$1,$6,$1.70,5.97
20167.0,Kyle Muller,32575,sa917931,ATL AAA,SP,$4.29,$3.00,$3,$11,$2.80,22.388
20302.0,David Peterson,31541,sa829588,NYM,SP,$4.28,$4.00,$3,$7,$1.80,8.657
18655.0,A.J. Minter,23679,sa659284,ATL,RP,$4.27,$4.00,$3,$10,$2.10,22.985
15451.0,Mike Mayers,18584,sa706982,LAA,RP,$4.27,$3.00,$3,$10,$1.80,6.567
19244.0,Cole Irvin,30886,sa658684,OAK,SP,$4.27,$4.00,$3,$8,$4.70,14.627
13394.0,Dylan Floro,27350,sa502066,MIA,RP,$4.26,$4.00,$3,$13,$1.90,59.104
20517.0,Nick Sandlin,33643,sa3006820,CLE,RP,$4.25,$4.00,$3,$9,$1.90,3.582
17264.0,Sam Coonrod,20456,sa827483,PHI,RP,$4.25,$4.50,$3,$5,$1.60,1.194
