"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Jarren Duran","BOS","97","397","362","92","19","4","10","51","39","27","107","4","13","4","",".253",".310",".407",".717",".310","91","","0.6","","414.5","","5.46","-1.32","1.13","24617"
"Pavin Smith","ARI","121","500","446","118","24","3","12","62","53","43","89","3","2","1","",".264",".327",".410",".738",".318","96","","0.6","","390.5","","3.06","0.42","0.55","19892"
"DJ Stewart","BAL","81","313","266","58","12","1","14","38","37","40","84","4","1","0","",".219",".331",".431",".762",".331","108","","0.6","","600.2","","4.29","-0.52","0.62","17766"
"David Bote","CHC","61","228","202","48","9","1","8","26","28","21","55","3","1","1","",".238",".319",".411",".730",".316","98","","0.6","","595.4","","3.00","0.36","1.09","14593"
"Wilson Ramos","","48","176","163","42","7","0","6","19","22","11","33","1","0","0","",".260",".309",".417",".726",".311","96","","0.6","","600.9","","2.47","3.16","1.43","1433"
"Nick Senzel","CIN","80","309","279","73","17","2","8","41","33","26","59","2","7","3","",".261",".325",".419",".744",".321","95","","0.6","","469.2","","5.58","-0.09","1.14","19293"
"Johan Camargo","PHI","65","206","188","47","10","1","7","24","24","16","45","1","0","0","",".250",".313",".419",".732",".315","95","","0.6","","600.5","","4.05","0.91","1.23","14950"
"Brennen Davis","CHC","43","163","144","34","8","0","6","21","19","14","47","3","3","1","",".237",".317",".426",".743",".321","102","","0.6","","999.0","","8.21","0.11","1.39","sa3007876"
"Kevin Smith","TOR","75","247","226","52","12","1","10","30","30","18","71","2","4","2","",".230",".294",".419",".713",".306","89","","0.6","","594.2","","2.40","0.68","1.04","20242"
"Kevin Newman","PIT","116","457","423","110","20","3","5","46","40","24","45","3","6","2","",".260",".304",".359",".662",".288","79","","0.6","","593.5","","2.96","-0.36","1.00","17696"
"Zack Collins","CHW","41","150","129","28","6","0","5","18","18","19","47","1","1","0","",".215",".323",".389",".712",".313","96","","0.6","","594.3","","3.56","0.04","1.31","19181"
"Randal Grichuk","TOR","128","513","476","116","25","2","23","63","72","29","114","4","1","1","",".243",".290",".452",".742",".314","95","","0.6","","385.4","","1.47","-0.45","0.56","10243"
"Corey Dickerson","","93","356","330","88","18","3","10","43","40","22","66","2","5","2","",".266",".316",".427",".743",".318","97","","0.5","","595.8","","3.15","-1.56","0.96","10762"
"Sam Hilliard","COL","105","383","347","79","15","3","18","48","49","33","128","2","8","2","",".228",".298",".446",".744",".317","84","","0.5","","420.9","","1.75","1.48","0.76","17954"
"Lewin Díaz","MIA","78","300","277","65","13","1","15","36","40","19","69","3","1","0","",".236",".291",".450",".740",".314","99","","0.5","","576.6","","3.94","2.21","0.74","18365"
"Austin Hedges","CLE","96","347","314","61","11","0","12","33","37","21","98","3","1","1","",".195",".250",".348",".598",".257","60","","0.5","","578.5","","2.38","-0.98","0.74","12976"
"Matt Duffy","","57","218","195","52","9","1","3","25","19","18","40","3","4","1","",".267",".338",".362",".700",".310","94","","0.5","","589.6","","2.19","-1.08","1.54","13836"
"Bobby Bradley","CLE","106","433","384","82","17","1","21","52","60","40","148","6","0","0","",".213",".294",".430",".724",".310","95","","0.5","","437.9","","2.37","1.69","0.76","17278"
"Alex Dickerson","","82","283","255","64","13","2","12","35","37","22","63","5","1","0","",".252",".321",".455",".776",".331","108","","0.5","","599.0","","1.80","-0.36","0.88","12649"
"Hoy Park","PIT","49","189","162","39","7","1","4","23","17","22","43","2","3","2","",".238",".335",".365",".700",".310","93","","0.5","","600.6","","4.56","0.72","1.40","18027"
"Josh VanMeter","ARI","87","317","279","65","16","1","10","37","36","34","79","3","4","2","",".234",".321",".406",".726",".316","95","","0.5","","595.8","","2.52","-0.34","0.81","15170"
"Jose Trevino","TEX","80","293","273","64","13","0","6","27","30","12","55","1","1","1","",".236",".268",".355",".623",".268","68","","0.5","","581.7","","2.11","1.55","0.95","16725"
"Jon Berti","MIA","52","194","168","40","7","1","3","24","16","20","45","3","7","2","",".240",".330",".339",".670",".300","90","","0.5","","581.2","","6.05","0.53","1.58","12037"
"Dom Nuñez","COL","68","248","215","44","9","1","10","28","30","28","77","2","0","0","",".205",".301",".402",".703",".304","75","","0.5","","577.7","","1.50","-0.79","0.82","15055"
"Jorge Mateo","BAL","104","357","330","79","17","4","8","38","32","17","97","4","13","4","",".238",".282",".381",".663",".286","78","","0.5","","454.8","","2.48","-0.12","1.41","17273"
"Tyler Wade","LAA","100","296","264","60","12","2","4","39","22","26","73","3","21","5","",".229",".304",".330",".634",".281","76","","0.5","","460.7","","4.13","2.03","2.06","15730"
"Josh Naylor","CLE","85","329","302","79","17","1","10","38","38","24","57","3","2","1","",".261",".320",".424",".744",".321","103","","0.5","","570.1","","5.41","0.67","0.93","18839"
"Isaac Paredes","DET","30","116","102","26","5","0","3","13","12","12","18","1","0","0","",".255",".338",".396",".734",".321","103","","0.5","","600.7","","4.96","0.64","1.64","20036"
"Luis Rengifo","LAA","49","189","170","41","8","1","5","22","19","14","37","2","3","2","",".242",".305",".377",".683",".297","87","","0.5","","600.3","","6.40","1.32","1.39","19858"
"Eric Hosmer","SDP","134","547","496","131","23","1","16","61","69","43","105","4","5","2","",".265",".326",".412",".738",".318","99","","0.5","","387.5","","2.49","0.51","0.44","3516"
"Nick Pratto","KCR","57","231","205","48","10","1","10","29","30","22","72","2","4","1","",".234",".313",".439",".752",".323","102","","0.5","","521.8","","4.15","2.65","1.08","sa3004138"
"Yoshi Tsutsugo","PIT","118","460","399","91","20","1","17","54","57","54","117","3","0","0","",".229",".323",".413",".736",".320","100","","0.4","","368.8","","3.65","-0.11","0.35","27459"
"Mike Brosseau","MIL","74","276","247","58","12","1","10","32","32","22","76","5","3","1","",".235",".308",".410",".718",".310","91","","0.4","","593.5","","3.27","-0.46","0.91","19683"
"Matt Vierling","PHI","100","355","321","82","15","2","10","40","39","25","82","4","7","2","",".254",".312",".404",".716",".309","91","","0.4","","562.0","","7.16","-1.01","1.00","21558"
"Orlando Arcia","ATL","74","269","246","62","11","1","8","31","30","20","46","1","3","1","",".252",".309",".403",".712",".306","87","","0.4","","596.9","","8.45","-0.93","1.11","13185"
"Kevin Pillar","","87","319","301","74","15","2","11","38","40","12","63","5","5","2","",".247",".287",".420",".707",".302","89","","0.4","","598.3","","7.85","0.35","0.85","12434"
"MJ Melendez","KCR","27","106","94","23","5","1","4","13","15","10","27","1","1","1","",".242",".318",".445",".763",".327","106","","0.4","","389.2","","5.15","3.16","1.57","sa3004139"
"Brent Rooker","MIN","80","321","284","63","14","1","14","40","40","29","105","7","1","1","",".223",".311",".424",".735",".318","101","","0.4","","600.1","","4.81","0.38","0.55","19627"
"Starlin Castro","","54","221","204","55","11","1","6","24","26","14","40","1","0","0","",".269",".315",".411",".726",".311","92","","0.4","","598.3","","3.37","0.59","1.37","4579"
"Michael Perez","PIT","54","192","173","36","8","1","5","18","20","16","53","1","0","0","",".207",".278",".350",".629",".275","71","","0.4","","999.0","","2.20","0.24","1.16","12977"
"Garrett Hampson","COL","118","443","403","101","19","5","11","58","40","31","110","3","17","5","",".250",".306",".402",".708",".306","77","","0.4","","272.9","","4.76","0.60","1.33","19262"
"Edward Olivares","KCR","43","163","148","38","7","1","5","19","18","10","31","2","4","1","",".260",".314",".430",".744",".319","100","","0.4","","564.5","","6.47","1.42","1.58","19698"
"Nolan Jones","CLE","46","183","160","37","8","1","6","21","19","20","59","1","2","1","",".230",".319",".396",".716",".312","97","","0.4","","589.5","","4.47","-0.04","1.31","sa917941"
"Dominic Smith","NYM","103","387","349","90","20","1","14","44","52","28","87","6","1","1","",".258",".320",".439",".759",".325","104","","0.4","","436.0","","3.53","-1.17","0.64","15653"
"Shed Long Jr.","","49","193","175","40","8","1","5","21","19","16","54","1","2","1","",".230",".298",".376",".674",".294","89","","0.4","","999.0","","1.73","-1.08","1.31","16542"
"Travis Swaggerty","PIT","41","165","147","35","7","1","4","18","16","14","40","1","4","1","",".236",".308",".379",".686",".299","86","","0.4","","594.9","","3.92","1.34","1.52","sa3007512"
"Jackie Bradley Jr.","BOS","76","291","259","56","13","1","7","33","28","24","78","5","5","1","",".217",".295",".361",".656",".287","76","","0.4","","578.7","","2.05","1.02","0.94","12984"
"Willi Castro","DET","44","172","158","39","7","2","4","20","17","9","40","3","3","2","",".248",".298",".402",".700",".301","89","","0.4","","525.1","","7.60","0.39","1.47","17338"
"Yu Chang","CLE","64","228","210","48","11","1","8","27","28","15","64","2","1","1","",".231",".290",".406",".696",".300","89","","0.4","","596.2","","2.06","0.65","1.03","14773"
"Brett Phillips","TBR","69","215","187","37","7","2","8","29","25","24","77","1","9","2","",".197",".291",".382",".673",".291","82","","0.4","","597.5","","3.55","0.58","1.31","14735"
"Trevor Larnach","MIN","95","387","341","80","16","1","11","45","42","36","124","6","2","1","",".233",".316",".383",".699",".306","93","","0.4","","539.9","","2.55","-0.31","0.42","21501"
"Zach McKinstry","LAD","49","183","166","39","9","1","6","23","22","13","46","2","2","1","",".238",".300",".413",".713",".307","92","","0.3","","595.5","","4.45","1.98","1.27","19392"
"Robinson Chirinos","","33","112","97","21","4","0","4","13","13","11","34","3","0","0","",".213",".308",".382",".690",".303","90","","0.3","","598.0","","1.81","-0.11","1.49","3142"
"Mauricio Dubón","SFG","37","135","124","32","6","0","4","15","14","8","25","1","2","1","",".258",".304",".393",".697",".301","88","","0.3","","584.1","","4.46","2.48","1.64","16530"
"Rylan Bannon","BAL","43","170","151","33","7","1","6","18","18","16","39","2","2","1","",".221",".300",".385",".685",".298","86","","0.3","","600.3","","3.05","1.44","1.35","sa3004162"
"Jacob Nottingham","BAL","52","181","163","33","7","0","7","20","21","13","62","4","1","1","",".202",".275",".367",".642",".280","73","","0.3","","600.5","","4.51","0.11","1.14","16448"
"Kelvin Gutierrez","BAL","93","362","334","80","13","2","7","35","33","24","96","3","2","1","",".240",".297",".353",".650",".285","77","","0.3","","597.4","","1.94","-1.24","0.83","17468"
"Cam Gallagher","KCR","30","104","94","23","4","0","2","10","10","7","19","1","0","0","",".242",".302",".349",".651",".286","78","","0.3","","600.2","","2.36","1.07","1.68","12981"
"Juan Yepez","STL","49","201","181","45","10","0","8","25","26","16","44","2","1","1","",".251",".319",".446",".765",".327","106","","0.3","","486.8","","4.66","0.29","1.23","sa877505"
"Cooper Hummel","ARI","38","150","129","31","6","1","4","19","16","18","35","2","1","1","",".244",".343",".407",".750",".328","103","","0.3","","999.0","","4.25","1.77","1.44","sa918412"
"Taylor Ward","LAA","33","126","112","28","6","0","5","17","14","12","32","1","1","0","",".250",".328",".436",".764",".330","108","","0.3","","599.8","","8.27","0.51","1.54","17548"
"Jake Rogers","DET","20","74","65","14","3","0","3","8","8","7","25","1","1","0","",".210",".291",".382",".673",".294","85","","0.3","","600.8","","3.11","0.90","1.69","19452"
"Triston Casas","BOS","40","161","143","36","8","1","6","21","20","16","36","2","2","1","",".250",".330",".437",".767",".330","105","","0.3","","484.9","","4.51","1.34","1.41","sa3007634"
"Clint Frazier","CHC","98","379","331","78","18","1","13","43","42","41","107","5","4","1","",".234",".326",".415",".741",".322","102","","0.3","","440.9","","3.16","1.63","0.57","15983"
"Reese McGuire","TOR","32","111","100","23","5","0","2","11","10","8","23","1","0","0","",".233",".296",".355",".650",".285","75","","0.3","","599.9","","4.00","1.82","1.62","15674"
"Seth Brown","OAK","120","437","401","91","20","2","20","54","58","31","130","3","5","2","",".228",".287",".437",".725",".309","99","","0.3","","484.5","","5.85","0.19","0.56","18171"
"Tomás Nido","NYM","56","195","183","41","8","1","5","19","20","9","50","2","1","0","",".223",".266",".352",".618",".268","66","","0.3","","600.8","","1.62","0.11","1.23","13755"
"Luis Guillorme","NYM","40","133","115","29","5","0","1","14","11","15","23","1","1","1","",".252",".341",".335",".676",".303","90","","0.3","","999.0","","4.39","1.47","1.64","16451"
"Greg Allen","PIT","58","208","182","45","9","1","3","25","18","15","48","6","12","2","",".248",".320",".370",".690",".302","88","","0.3","","600.3","","7.13","1.43","1.81","16623"
"Nick Fortes","MIA","29","101","92","22","4","0","2","10","11","7","19","1","1","0","",".241",".303",".363",".665",".291","84","","0.3","","592.5","","3.41","1.15","1.68","21538"
"Tyler Freeman","CLE","20","63","58","17","4","0","1","7","6","2","8","1","1","0","",".287",".328",".407",".735",".317","101","","0.3","","999.0","","4.12","0.03","1.92","sa3004755"
"Harold Ramirez","CHC","60","240","224","62","12","1","6","26","28","11","42","3","2","1","",".279",".321",".426",".747",".322","102","","0.3","","533.2","","4.32","0.71","1.43","14387"
"Romy Gonzalez","CHW","26","99","91","21","4","0","4","12","11","7","31","1","2","1","",".235",".297",".421",".718",".308","93","","0.3","","999.0","","4.05","2.19","1.67","21562"
"Michael Hermosillo","CHC","37","134","117","27","5","1","5","17","15","11","38","4","2","1","",".227",".308",".410",".718",".310","94","","0.3","","599.0","","3.66","1.98","1.47","16285"
"Josh Lowe","TBR","58","219","195","46","10","1","7","27","26","22","62","1","8","2","",".238",".315",".399",".714",".310","94","","0.3","","422.2","","9.14","0.14","1.36","19953"
"Ben Rortvedt","MIN","22","76","69","15","3","0","2","8","8","5","20","1","0","0","",".221",".285",".359",".644",".281","76","","0.3","","999.0","","2.37","1.11","1.70","20287"
"Willie Calhoun","TEX","111","432","393","100","19","2","15","48","50","31","60","4","1","1","",".255",".312",".430",".742",".318","102","","0.3","","429.5","","5.32","0.30","0.51","17838"
"William Contreras","ATL","18","70","63","16","3","0","3","8","8","6","19","0","0","0","",".246",".310",".425",".735",".316","94","","0.3","","592.1","","5.87","1.68","1.76","20503"
"Mitch Moreland","","71","267","240","56","11","1","12","32","36","23","61","2","0","0","",".234",".305",".433",".737",".314","102","","0.3","","600.9","","3.19","0.13","0.82","3086"
"Oswald Peraza","NYY","26","103","95","24","4","0","2","12","10","6","22","1","4","1","",".251",".301",".379",".681",".296","85","","0.3","","599.9","","5.68","1.38","1.80","sa3003305"
"Lars Nootbaar","STL","87","294","261","65","10","2","9","34","32","27","62","2","4","2","",".250",".322",".405",".727",".314","97","","0.3","","553.6","","2.72","1.16","1.03","21454"
"Seth Beer","ARI","85","307","274","70","15","1","11","38","39","22","70","9","1","0","",".254",".330",".436",".766",".331","104","","0.3","","548.0","","4.12","0.12","0.81","20493"
"Jose Siri","HOU","65","234","217","49","10","2","8","29","27","14","82","2","9","2","",".228",".281",".396",".677",".291","86","","0.3","","545.1","","4.26","1.69","1.34","17452"
"Travis Shaw","","55","202","177","39","8","0","8","22","25","22","53","2","0","0","",".220",".310",".393",".703",".305","88","","0.3","","600.6","","1.95","0.48","1.08","11982"
"Daniel Vogelbach","","49","175","147","34","6","0","7","22","21","27","41","1","0","0","",".231",".352",".417",".769",".337","109","","0.3","","600.4","","2.93","1.85","1.22","14130"
"Stephen Vogt","","41","142","126","27","6","1","4","15","16","13","34","1","0","0","",".218",".293",".379",".672",".289","76","","0.2","","999.0","","0.96","0.20","1.39","5000"
"Jake Burger","CHW","24","88","81","20","4","0","3","10","11","6","26","1","0","0","",".244",".304",".416",".719",".310","94","","0.2","","588.3","","4.70","2.83","1.67","22275"
"Justin Upton","LAA","87","343","301","67","12","0","16","45","44","34","99","4","3","1","",".222",".307",".425",".732",".314","98","","0.2","","546.7","","3.03","1.48","0.53","5222"
"Adam Eaton","","56","226","198","48","9","2","5","28","20","20","48","4","3","1","",".243",".323",".376",".699",".307","93","","0.2","","999.0","","2.64","1.70","1.26","11205"
"Alex Jackson","MIA","36","127","114","22","5","0","4","13","15","9","51","4","0","0","",".190",".270",".346",".617",".271","71","","0.2","","999.0","","3.91","0.15","1.35","17276"
"José Peraza","NYY","42","149","138","35","6","0","4","17","16","8","23","2","2","1","",".251",".299",".384",".684",".296","85","","0.2","","600.8","","5.28","0.54","1.54","13593"
"Vimael Machín","OAK","41","147","130","30","6","1","3","15","12","13","32","1","1","0","",".230",".307",".344",".651",".287","84","","0.2","","999.0","","4.43","0.99","1.49","17684"
"Andrew Velazquez","LAA","35","121","108","24","5","1","3","14","12","9","38","1","6","1","",".223",".288",".358",".646",".283","77","","0.2","","999.0","","3.53","1.99","1.72","14196"
"Garrett Stubbs","PHI","29","91","78","17","4","0","1","9","7","9","19","1","1","0","",".217",".302",".311",".613",".274","68","","0.2","","999.0","","2.77","0.87","1.69","18067"
"Owen Miller","CLE","45","175","162","40","8","1","4","19","18","11","42","2","1","0","",".250",".301",".380",".681",".295","86","","0.2","","600.5","","3.08","0.15","1.45","24655"
"Cristian Pache","ATL","52","191","175","41","9","1","5","23","19","12","56","1","2","1","",".235",".288",".377",".665",".288","76","","0.2","","583.8","","2.69","0.75","1.29","19948"
"Aristides Aquino","CIN","83","291","259","58","11","1","16","38","40","27","93","3","4","1","",".225",".304",".461",".765",".326","98","","0.2","","590.8","","6.25","0.52","0.77","15482"
"Robinson Canó","NYM","77","314","289","75","16","1","10","35","39","20","50","3","1","0","",".259",".311",".420",".731",".312","96","","0.2","","486.5","","3.45","-1.07","0.93","3269"
"Danny Mendick","CHW","51","182","164","38","7","0","4","19","17","15","39","2","2","1","",".230",".299",".344",".643",".284","77","","0.2","","999.0","","3.91","1.36","1.35","18889"
"Ronald Guzmán","","50","182","163","37","7","1","7","21","21","16","51","2","1","1","",".229",".304",".407",".711",".308","95","","0.2","","999.0","","1.80","3.37","1.24","14388"
"Geraldo Perdomo","ARI","26","98","87","21","4","1","1","11","8","9","21","1","2","1","",".236",".319",".341",".660",".293","80","","0.2","","595.4","","3.25","0.15","1.71","22799"
"TJ Friedl","CIN","60","212","187","47","9","2","5","26","20","17","35","4","4","1","",".250",".320",".392",".712",".309","87","","0.2","","600.7","","4.51","-0.55","1.36","19522"
"Skye Bolt","OAK","21","71","63","14","3","0","2","8","6","6","20","0","1","0","",".219",".292",".361",".653",".286","83","","0.2","","999.0","","4.96","0.69","1.77","17723"
"Alan Trejo","COL","83","264","245","60","14","1","8","30","31","13","64","2","1","1","",".246",".284",".406",".690",".294","69","","0.2","","999.0","","5.01","-0.98","1.01","20056"
"Nick Allen","OAK","48","193","176","42","9","1","3","19","15","11","41","2","4","2","",".236",".285",".338",".623",".272","74","","0.2","","999.0","","2.23","0.65","1.48","sa3004723"
"Elehuris Montero","COL","18","71","65","17","3","0","3","9","10","5","16","0","0","0","",".261",".314",".457",".772",".329","92","","0.2","","596.9","","5.55","3.08","1.76","sa872477"
"Bryan Lavastida","CLE","11","41","37","9","2","0","1","5","4","3","9","1","1","0","",".254",".320",".401",".721",".312","97","","0.2","","999.0","","4.93","3.02","1.92","sa3006917"
"Kurt Suzuki","","33","122","109","26","5","0","3","13","14","7","20","3","0","0","",".236",".301",".379",".679",".294","84","","0.2","","600.5","","1.03","0.07","1.55","8259"
"Brock Holt","","59","218","193","45","9","1","2","21","18","21","43","2","3","1","",".234",".314",".324",".638",".285","80","","0.2","","999.0","","1.22","0.37","1.36","9345"
"Colton Welker","COL","79","276","252","67","14","1","7","33","35","21","61","2","1","1","",".266",".326",".418",".744",".321","87","","0.2","","593.8","","3.85","0.44","1.10","19961"
"Yonny Hernandez","TEX","20","78","66","16","2","0","0","9","5","9","14","2","4","2","",".239",".344",".285",".629",".291","84","","0.2","","599.8","","5.48","1.54","1.90","19432"
"Taylor Trammell","SEA","28","107","94","20","4","0","3","12","11","11","34","1","2","1","",".212",".299",".363",".662",".292","88","","0.2","","600.9","","4.08","1.18","1.59","19960"
"Phil Gosselin","","49","189","173","43","8","1","4","21","20","14","43","1","2","1","",".250",".312",".376",".687",".301","89","","0.2","","589.1","","2.96","0.78","1.39","10953"
"Estevan Florial","NYY","58","196","176","38","8","1","7","24","21","18","67","1","6","2","",".216",".292",".384",".676",".294","84","","0.2","","600.3","","3.29","1.26","1.30","19151"
"Derek Hill","DET","55","193","178","42","7","2","4","23","18","12","58","2","6","2","",".236",".292",".368",".661",".288","81","","0.2","","999.0","","3.70","1.31","1.47","16947"
"Jack Mayfield","LAA","41","156","143","32","7","0","5","18","19","9","36","2","2","1","",".226",".277",".385",".662",".285","79","","0.2","","999.0","","4.85","2.03","1.38","15402"
"Otto Lopez","TOR","27","74","69","18","4","0","1","9","7","4","26","1","1","1","",".264",".314",".375",".689",".302","86","","0.2","","999.0","","6.54","2.51","1.84","19608"
"Luis Campusano","SDP","33","124","113","28","6","0","4","13","14","9","30","2","0","0","",".249",".314",".402",".716",".311","95","","0.2","","999.0","","3.68","1.36","1.59","22217"
"Tim Locastro","","53","175","158","38","8","1","3","23","15","11","35","5","7","2","",".240",".309",".359",".669",".295","84","","0.2","","594.6","","2.70","-0.03","1.58","15124"
"Ryan McKenna","BAL","25","85","75","17","3","1","3","10","9","9","26","1","2","1","",".227",".316",".411",".727",".316","98","","0.2","","999.0","","4.27","0.83","1.71","19928"
"Alcides Escobar","WSN","105","439","405","103","20","2","6","52","43","23","79","6","5","2","",".255",".303",".359",".662",".289","77","","0.2","","582.4","","4.12","0.64","0.75","6310"
"Oswaldo Cabrera","NYY","15","61","57","14","3","0","2","8","7","4","15","0","1","1","",".238",".287",".400",".687",".295","84","","0.2","","999.0","","5.49","3.01","1.81","sa916954"
"Zack Short","DET","17","63","54","11","2","0","2","7","7","7","18","0","0","0","",".208",".300",".371",".671",".293","84","","0.2","","999.0","","3.90","0.66","1.74","19562"
"Marwin Gonzalez","","61","230","208","48","10","0","6","24","24","17","55","4","2","1","",".231",".297",".363",".660",".288","83","","0.1","","999.0","","3.05","-0.88","1.13","5497"
"Jordan Groshans","TOR","16","60","54","14","3","0","1","7","6","5","13","0","0","0","",".252",".313",".381",".694",".302","87","","0.1","","600.4","","3.45","0.34","1.83","sa3006893"
"Chance Sisco","NYM","21","75","66","14","3","0","2","8","7","7","21","2","0","0","",".209",".304",".342",".646",".288","80","","0.1","","999.0","","2.38","1.97","1.69","15694"
"Hanser Alberto","","35","106","101","27","5","1","2","11","11","2","12","1","1","0","",".266",".289",".377",".666",".286","78","","0.1","","600.7","","3.02","1.40","1.76","11902"
"Richie Palacios","CLE","11","42","37","10","2","0","1","5","4","4","8","1","1","0","",".261",".335",".393",".729",".318","101","","0.1","","600.0","","4.94","3.05","1.93","sa3006908"
"Keston Hiura","MIL","83","319","283","65","13","1","14","39","40","26","108","7","4","2","",".230",".309",".436",".745",".320","98","","0.1","","445.0","","3.15","0.29","0.73","20003"
"Daz Cameron","DET","49","185","167","39","8","1","5","23","19","15","52","3","6","2","",".232",".303",".385",".688",".300","89","","0.1","","600.2","","5.02","0.55","1.45","18353"
"Renato Núñez","","25","98","89","21","4","0","4","12","13","7","26","2","0","0","",".239",".306",".439",".746",".320","103","","0.1","","599.6","","5.87","3.48","1.59","14503"
"Ernie Clement","CLE","29","107","99","24","5","0","2","11","9","6","16","1","1","0","",".248",".293",".355",".647",".282","77","","0.1","","999.0","","3.65","-0.29","1.73","20352"
"Luke Raley","LAD","24","84","76","18","3","0","3","11","11","5","25","3","1","0","",".233",".301",".408",".710",".307","93","","0.1","","999.0","","4.85","1.35","1.65","19354"
"Donovan Walton","SEA","10","35","32","8","2","0","1","4","4","3","6","0","0","0","",".248",".315",".400",".716",".311","101","","0.1","","999.0","","4.84","1.86","1.92","19314"
"Matt Beaty","LAD","84","272","245","62","12","1","8","35","34","20","51","7","2","1","",".255",".327",".412",".739",".322","102","","0.1","","581.5","","1.50","0.05","0.98","17710"
"Emmanuel Rivera","KCR","22","84","78","20","4","0","3","10","10","5","18","1","1","0","",".256",".303",".423",".726",".312","95","","0.1","","999.0","","3.82","1.74","1.75","19890"
"Rafael Marchan","PHI","26","93","86","20","4","0","1","9","8","6","17","1","0","0","",".234",".292",".319",".611",".271","66","","0.1","","999.0","","2.75","1.08","1.70","21646"
"Jonathan Araúz","BOS","16","59","53","13","3","0","1","7","6","5","12","0","0","0","",".238",".305",".365",".670",".294","80","","0.1","","999.0","","5.76","1.91","1.80","20275"
"CJ Abrams","SDP","23","94","87","20","5","0","1","11","9","6","19","1","4","1","",".229",".288",".333",".621",".275","71","","0.1","","569.2","","4.16","0.09","1.79","sa3010152"
"Austin Romine","","35","119","112","26","5","0","3","12","13","6","35","1","0","0","",".230",".268",".350",".618",".268","67","","0.1","","999.0","","1.19","-0.12","1.55","5491"
"Miguel Andújar","NYY","42","163","153","40","7","0","6","20","20","9","28","1","1","0","",".261",".303",".437",".740",".316","98","","0.1","","594.1","","3.65","-0.48","1.45","15878"
"Dustin Garneau","DET","12","45","39","8","2","0","2","5","5","4","12","1","0","0","",".206",".282",".389",".671",".288","80","","0.1","","999.0","","2.82","0.75","1.82","9433"
"Charlie Culberson","","61","194","180","43","9","1","4","21","19","11","51","2","3","1","",".238",".286",".368",".654",".284","79","","0.1","","597.2","","2.14","-0.44","1.39","3298"
"Taylor Jones","HOU","24","92","82","19","4","0","3","10","11","8","24","1","0","0","",".238",".311",".390",".701",".305","95","","0.1","","999.0","","3.94","1.94","1.65","19533"
"Kyle Garlick","MIN","23","72","67","15","4","0","4","9","9","5","23","1","0","0","",".229",".282",".459",".742",".314","98","","0.1","","999.0","","5.11","0.27","1.69","18063"
"Jahmai Jones","BAL","37","137","125","28","5","1","3","14","13","11","36","1","2","1","",".226",".295",".361",".656",".287","79","","0.1","","600.9","","4.12","0.80","1.54","18872"
"Jake Marisnick","","66","203","184","41","8","1","6","24","22","12","64","4","4","1","",".221",".284",".383",".667",".288","80","","0.1","","999.0","","2.00","-0.04","1.25","11339"
"Jose Herrera","ARI","12","47","42","9","2","0","1","5","5","5","11","0","0","0","",".222",".299",".336",".635",".280","71","","0.1","","999.0","","3.00","0.93","1.84","sa830295"
"Daniel Robertson","","42","132","114","25","5","0","3","14","11","14","35","3","1","0","",".220",".319",".332",".651",".290","78","","0.1","","999.0","","1.94","-0.02","1.50","14145"
"Jake McCarthy","ARI","80","297","267","62","12","4","7","36","29","23","84","3","13","3","",".231",".298",".383",".682",".297","82","","0.1","","600.1","","3.46","0.16","1.41","21622"
"Brett Cumberland","BAL","11","41","36","7","1","0","1","4","4","4","13","1","0","0","",".190",".292",".330",".623",".278","73","","0.1","","999.0","","2.22","1.50","1.82","sa915611"
"Cole Tucker","PIT","74","283","253","58","12","2","5","32","25","25","67","2","5","2","",".230",".301",".351",".653",".287","78","","0.1","","565.3","","2.98","-0.27","1.13","17326"
"Korey Lee","HOU","7","26","24","6","1","0","1","3","3","2","5","0","0","0","",".236",".286",".386",".672",".287","83","","0.1","","999.0","","3.92","3.47","1.94","sa3010034"
"Zach Reks","TEX","38","137","122","28","5","0","4","17","14","12","48","2","1","0","",".227",".308",".382",".690",".302","91","","0.1","","999.0","","3.78","1.36","1.43","19667"
"Yermín Mercedes","CHW","16","53","49","13","2","0","2","6","7","3","10","0","0","0","",".254",".304",".406",".709",".306","91","","0.1","","591.5","","3.98","2.76","1.84","17423"
"Drew Ellis","ARI","31","113","100","21","5","0","3","13","12","10","34","2","0","0","",".213",".298",".369",".667",".293","80","","0.1","","999.0","","3.54","1.23","1.48","19873"
"Anthony Bemboom","","17","64","57","11","2","0","2","6","6","5","18","1","0","0","",".200",".276",".326",".602",".266","64","","0.1","","999.0","","2.18","1.33","1.74","13854"
"Yonathan Daza","COL","76","280","259","72","14","2","3","29","26","16","48","2","3","2","",".278",".322",".378",".700",".305","76","","0.1","","600.0","","3.96","-0.06","1.49","15794"
"Joe Panik","","54","192","173","42","8","1","3","19","17","15","27","2","2","1","",".242",".308",".342",".650",".286","81","","0.1","","999.0","","1.51","0.03","1.42","11936"
"Tres Barrera","WSN","22","81","73","16","3","0","2","7","8","7","19","1","0","0","",".216",".291",".331",".622",".276","69","","0.1","","999.0","","3.20","1.03","1.70","19977"
