"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Willy Adames","MIL","144","592","530","135","28","2","26","77","73","58","167","2","6","3","",".255",".330",".460",".790",".339","110","","3.3","","129.6","","3.49","-0.48","0.33","15986"
"Jorge Polanco","MIN","147","638","579","155","32","3","26","91","83","47","111","5","9","4","",".268",".325",".469",".795",".338","115","","3.3","","78.2","","2.03","1.25","0.32","13152"
"Max Muncy","LAD","125","525","440","111","20","2","30","82","83","74","117","8","2","1","",".251",".367",".510",".877",".373","136","","3.3","","146.4","","3.62","0.55","0.82","13301"
"Ke'Bryan Hayes","PIT","139","599","542","144","31","3","15","76","63","51","126","4","12","3","",".266",".333",".421",".754",".327","104","","3.2","","142.2","","3.04","-2.22","0.65","18577"
"Jeimer Candelario","DET","144","607","535","138","33","4","20","71","69","64","135","6","1","1","",".257",".342",".444",".786",".340","116","","3.2","","238.2","","2.11","-0.10","0.38","13621"
"Tim Anderson","CHW","141","624","591","174","32","2","21","98","70","26","133","4","19","6","",".295",".327",".462",".789",".337","112","","3.2","","33.3","","2.38","-0.26","1.15","15172"
"Jesse Winker","CIN","135","566","488","140","28","1","28","83","78","67","98","10","2","1","",".287",".382",".523",".905",".386","137","","3.2","","106.6","","2.57","-1.01","0.85","13590"
"Jake Cronenworth","SDP","142","600","535","147","31","5","17","82","70","52","90","8","6","3","",".274",".345",".445",".790",".340","114","","3.2","","120.1","","1.97","0.91","0.57","18036"
"Austin Riley","ATL","148","619","557","152","29","2","31","86","94","48","160","9","0","1","",".272",".336",".500",".836",".354","119","","3.2","","48.7","","2.13","-0.41","1.00","18360"
"Starling Marte","NYM","137","603","543","151","28","3","17","92","66","42","112","14","37","8","",".278",".344",".433",".777",".336","112","","3.1","","28.5","","6.31","0.80","2.18","9241"
"Trent Grisham","SDP","138","584","507","125","26","4","19","81","65","65","133","6","15","4","",".245",".335",".424",".760",".329","107","","3.1","","137.1","","3.43","1.29","0.85","18564"
"Rhys Hoskins","PHI","131","573","482","116","26","1","34","84","87","80","135","8","3","2","",".242",".357",".515",".872",".371","131","","3.1","","133.7","","5.95","0.19","1.09","16472"
"Trevor Story","","147","632","565","145","32","4","28","91","81","56","156","8","22","6","",".256",".330",".472",".801",".342","100","","3.0","","38.5","","2.24","-0.46","1.01","12564"
"Cody Bellinger","LAD","142","579","509","124","25","3","28","82","83","64","129","3","9","3","",".244",".330",".469",".799",".339","113","","3.0","","98.2","","4.19","-2.43","0.73","15998"
"Christian Yelich","MIL","139","592","501","133","26","3","22","87","74","82","142","6","13","4","",".265",".373",".461",".834",".359","123","","3.0","","100.7","","3.24","-0.62","0.42","11477"
"Justin Turner","LAD","130","548","481","134","25","1","23","77","79","51","89","12","2","1","",".279",".359",".476",".835",".358","126","","3.0","","151.8","","2.99","0.16","0.66","5235"
"Kris Bryant","","136","587","509","131","29","2","23","84","72","64","135","12","7","2","",".258",".353",".458",".811",".350","120","","3.0","","94.6","","2.75","1.58","0.33","15429"
"Tyler Stephenson","CIN","130","478","420","113","23","1","14","61","56","47","98","7","0","0","",".270",".351",".426",".777",".338","106","","3.0","","137.5","","3.72","-0.40","0.63","17988"
"Harrison Bader","STL","139","514","458","113","23","2","18","65","59","43","127","10","12","4","",".246",".322",".425",".747",".322","102","","2.9","","234.3","","4.20","-0.65","0.63","18030"
"Ramón Laureano","OAK","118","500","447","114","24","2","20","68","60","37","129","11","13","4","",".255",".325",".452",".777",".333","115","","2.9","","229.0","","3.72","-1.19","0.61","17128"
"Tyler O'Neill","STL","138","542","489","125","23","2","31","81","82","42","166","9","13","3","",".257",".324",".504",".828",".350","121","","2.9","","49.9","","3.59","0.22","0.52","15711"
"Javier Báez","DET","144","590","551","140","27","3","28","80","83","28","177","7","15","5","",".254",".297",".465",".762",".320","103","","2.9","","61.3","","4.47","0.59","0.65","12979"
