"Name","Team","GS","G","IP","W","L","SV","HLD","H","ER","HR","SO","BB","WHIP","K/9","BB/9","ERA","FIP","-1","WAR","RA9-WAR","-1","ADP","playerid"
"Alex Cobb","SFG","28","28","149.0","10","9","0","0","147","67","17","135","48","1.31","8.13","2.88","4.04","3.91","","2.0","1.9","","255.1","6562"
"Anthony DeSclafani","SFG","31","31","168.0","10","10","0","0","165","80","24","149","48","1.27","7.97","2.56","4.28","4.16","","2.0","1.8","","214.8","13050"
"Shane Baz","TBR","21","21","104.0","7","5","0","0","89","42","13","119","34","1.18","10.27","2.95","3.62","3.67","","2.0","2.0","","140.4","22264"
"Michael Kopech","CHW","23","43","111.0","7","5","0","1","91","47","15","143","46","1.23","11.61","3.74","3.79","3.79","","1.9","1.9","","168.0","17282"
"Brady Singer","KCR","28","28","141.0","9","9","0","0","142","66","17","130","53","1.38","8.33","3.36","4.24","4.16","","1.9","2.3","","440.2","25377"
"Emmanuel Clase","CLE","0","67","67.0","5","3","31","2","54","20","5","79","20","1.10","10.65","2.73","2.69","2.70","","1.9","2.3","","60.5","21032"
"Yusei Kikuchi","SEA","28","28","149.0","9","9","0","0","145","70","21","143","52","1.32","8.65","3.16","4.24","4.21","","1.9","2.0","","350.9","20633"
"Patrick Sandoval","LAA","26","26","126.0","8","7","0","0","114","56","17","135","52","1.32","9.66","3.69","4.01","4.16","","1.9","2.2","","208.6","19447"
"Zack Greinke","","28","28","159.0","9","9","0","0","163","76","25","126","36","1.25","7.14","2.01","4.30","4.37","","1.9","2.0","","312.1","1943"
"Taylor Rogers","MIN","0","67","67.0","5","3","24","4","55","21","6","84","18","1.09","11.31","2.40","2.86","2.80","","1.9","2.1","","202.3","13449"
"Dane Dunning","TEX","28","28","141.0","9","8","0","0","142","67","18","128","50","1.36","8.18","3.16","4.26","4.17","","1.9","1.8","","427.8","19409"
"Steven Matz","STL","29","29","156.0","10","10","0","0","153","72","22","140","49","1.30","8.08","2.84","4.14","4.29","","1.9","1.9","","249.6","13361"
"Adam Wainwright","STL","31","31","190.0","12","11","0","0","190","89","27","151","55","1.29","7.18","2.63","4.24","4.41","","1.8","2.1","","203.1","2233"
"Joe Ryan","MIN","24","24","129.0","8","7","0","0","119","61","21","135","36","1.20","9.41","2.48","4.24","4.15","","1.8","1.9","","223.0","21390"
"Kyle Gibson","PHI","32","32","188.0","11","11","0","0","190","96","28","162","72","1.39","7.78","3.43","4.60","4.64","","1.8","1.7","","376.4","10123"
"Bailey Ober","MIN","26","26","132.0","7","6","0","0","131","64","23","130","33","1.25","8.88","2.28","4.37","4.30","","1.8","1.8","","268.7","21224"
"Marco Gonzales","SEA","31","31","181.0","10","12","0","0","183","90","30","141","49","1.28","7.00","2.43","4.48","4.66","","1.8","1.8","","313.7","15467"
"Casey Mize","DET","31","31","161.0","9","10","0","0","162","79","23","133","49","1.30","7.39","2.73","4.39","4.46","","1.8","2.0","","276.3","20492"
"Raisel Iglesias","LAA","0","68","68.0","6","3","31","2","53","23","9","92","18","1.05","12.20","2.41","3.03","3.03","","1.7","2.0","","51.5","17130"
"Corey Kluber","TBR","26","26","142.0","9","7","0","0","134","64","20","137","46","1.27","8.68","2.93","4.05","4.15","","1.7","2.0","","351.5","2429"
"Wade Miley","CHC","29","29","163.0","10","10","0","0","172","79","21","120","56","1.40","6.58","3.09","4.34","4.50","","1.7","2.0","","447.8","8779"
"Logan Gilbert","SEA","26","26","133.0","8","8","0","0","123","61","22","138","37","1.21","9.37","2.53","4.17","4.23","","1.7","1.8","","164.0","22250"
"Zach Eflin","PHI","23","23","129.0","8","8","0","0","133","62","21","113","32","1.28","7.90","2.23","4.33","4.35","","1.7","1.7","","478.6","13774"
"Brad Keller","KCR","28","28","156.0","10","10","0","0","159","77","18","127","65","1.44","7.36","3.77","4.45","4.43","","1.7","2.1","","553.3","15734"
"Kyle Freeland","COL","29","29","158.0","9","11","0","0","180","91","25","124","56","1.50","7.06","3.19","5.17","4.81","","1.7","1.5","","557.6","16256"
"Ryan Pressly","HOU","0","66","66.0","5","3","30","2","54","22","7","81","18","1.10","11.11","2.48","2.96","2.98","","1.7","2.0","","67.8","7005"
"Nick Pivetta","BOS","29","29","141.0","8","8","0","0","135","74","22","146","57","1.36","9.34","3.61","4.73","4.47","","1.6","1.6","","376.3","15454"
"Kyle Hendricks","CHC","31","31","179.0","10","11","0","0","195","92","29","131","41","1.32","6.58","2.05","4.61","4.68","","1.6","1.7","","280.4","12049"
"Aroldis Chapman","NYY","0","64","64.0","5","3","32","2","41","21","7","104","35","1.17","14.57","4.87","2.95","3.12","","1.6","1.8","","84.2","10233"
"José Urquidy","HOU","24","24","129.0","7","7","0","0","127","64","23","115","31","1.23","8.05","2.20","4.48","4.51","","1.6","1.4","","210.4","18413"
"Edwin Díaz","NYM","0","67","67.0","5","3","33","2","47","22","8","100","26","1.09","13.45","3.45","2.96","3.05","","1.6","1.6","","66.9","14710"
"José Quintana","PIT","28","28","133.0","7","8","0","0","134","66","19","125","51","1.39","8.44","3.48","4.47","4.37","","1.6","1.3","","550.6","11423"
"Devin Williams","MIL","0","65","65.0","6","3","2","13","46","22","7","96","31","1.18","13.30","4.30","2.99","3.09","","1.5","1.8","","303.0","15816"
"Sixto Sánchez","MIA","16","16","91.0","6","6","0","0","88","38","10","78","25","1.25","7.79","2.52","3.80","3.81","","1.5","1.5","","348.0","19680"
"Michael Pineda","","29","29","159.0","10","10","0","0","170","81","27","129","36","1.30","7.30","2.07","4.60","4.57","","1.5","1.5","","437.8","5372"
"Cal Quantrill","CLE","29","29","165.0","10","11","0","0","169","83","25","138","52","1.34","7.55","2.86","4.53","4.59","","1.5","1.8","","261.5","19312"
"Dylan Bundy","MIN","29","29","157.0","10","10","0","0","158","83","26","149","54","1.35","8.52","3.09","4.78","4.63","","1.4","1.4","","450.0","12917"
"Chris Flexen","SEA","29","29","144.0","8","9","0","0","148","70","22","116","40","1.31","7.24","2.48","4.37","4.47","","1.4","1.5","","380.9","13896"
"Miles Mikolas","STL","26","26","141.0","9","8","0","0","148","67","21","100","31","1.27","6.40","1.97","4.30","4.47","","1.4","1.4","","478.1","9803"
"JT Brubaker","PIT","24","24","133.0","8","9","0","0","132","66","20","125","45","1.34","8.50","3.05","4.51","4.45","","1.4","1.3","","488.1","17578"
"Merrill Kelly","ARI","29","29","171.0","10","11","0","0","184","92","28","137","52","1.38","7.20","2.72","4.85","4.72","","1.4","1.3","","477.0","11156"
