"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Cody Bellinger","LAD","134","581","507","124","24","3","29","81","90","66","132","3","11","3","",".244",".333",".474",".807",".340","","1.0","0.6","","3.2","","98.2","15998"
"Sean Murphy","OAK","115","460","402","91","22","1","18","54","58","43","118","9","1","0","",".227",".313",".421",".734",".318","","2.6","-0.3","","3.2","","239.2","19352"
"Gleyber Torres","NYY","151","651","576","152","28","0","23","80","83","64","129","4","13","5","",".264",".339",".435",".774",".334","","-3.8","-0.3","","3.1","","151.9","16997"
"Kyle Schwarber","","134","581","494","123","24","2","35","84","91","76","154","6","2","2","",".248",".352",".514",".866",".366","","-1.0","-1.3","","3.1","","122.7","16478"
"DJ LeMahieu","NYY","149","644","576","163","27","2","14","89","64","57","88","4","5","2","",".283",".349",".412",".761",".331","","3.2","-0.4","","3.1","","111.2","9874"
"Willy Adames","MIL","143","616","548","139","29","2","24","80","74","60","171","2","7","4","",".254",".329",".445",".773",".333","","-0.8","0.0","","3.1","","129.6","15986"
"Ty France","SEA","149","644","571","158","31","2","22","82","83","45","116","22","1","1","",".277",".350",".452",".802",".346","","0.6","-1.3","","3.1","","140.3","17982"
"Jeimer Candelario","DET","146","630","555","141","34","4","19","75","71","65","140","6","1","1","",".253",".336",".430",".766",".332","","-0.6","-0.7","","3.0","","238.2","13621"
"Ke'Bryan Hayes","PIT","139","602","540","140","32","3","14","75","59","50","128","4","11","3","",".260",".325",".412",".737",".319","","7.3","0.9","","3.0","","142.2","18577"
"Jacob Stallings","MIA","109","429","381","94","19","1","8","42","44","39","92","4","1","0","",".247",".320",".368",".689",".303","","6.2","-0.8","","3.0","","381.1","13723"
"J.P. Crawford","SEA","154","665","591","153","32","2","12","80","58","60","118","6","7","4","",".259",".331",".380",".711",".312","","-0.7","-1.0","","2.9","","381.2","15491"
"Luis Arraez","MIN","144","623","559","168","29","5","5","77","52","55","59","2","4","3","",".301",".363",".398",".761",".333","","-1.2","-0.4","","2.9","","311.9","18568"
"Luis Urías","MIL","138","595","515","131","26","2","20","74","73","63","123","11","6","2","",".253",".345",".431",".777",".337","","0.9","-0.5","","2.9","","155.7","16622"
"Javier Báez","DET","141","609","567","143","28","3","27","78","84","29","180","8","16","6","",".253",".297",".457",".755",".319","","-0.6","1.2","","2.9","","61.3","12979"
"Max Stassi","LAA","105","416","369","82","14","1","15","48","48","36","126","7","1","0","",".223",".303",".394",".697",".304","","2.0","-1.0","","2.9","","297.8","10059"
"Jesse Winker","CIN","133","574","493","140","29","1","25","84","78","67","99","10","2","1","",".283",".379",".502",".881",".378","","-3.7","-2.0","","2.9","","106.6","13590"
"Starling Marte","NYM","134","581","525","142","27","3","16","81","64","36","110","14","31","8","",".271",".332",".424",".757",".327","","-2.6","3.1","","2.9","","28.5","9241"
"Giancarlo Stanton","NYY","138","595","521","136","23","0","36","80","102","64","166","5","1","0","",".262",".345",".515",".860",".364","","0.0","-1.4","","2.8","","96.2","4949"
"Adley Rutschman","BAL","102","405","354","93","17","2","15","53","50","41","70","4","2","1","",".261",".342",".444",".787",".339","","1.0","-0.5","","2.8","","186.3","sa3011643"
"Max Kepler","MIN","130","560","487","115","26","3","24","76","71","61","103","7","8","3","",".236",".328",".452",".780",".334","","6.1","0.5","","2.8","","285.7","12144"
"Tommy Edman","STL","143","616","566","154","30","4","12","80","56","36","93","7","24","6","",".272",".321",".407",".728",".315","","3.6","3.1","","2.8","","84.3","19470"
"Jared Walsh","LAA","151","651","583","153","32","2","34","86","108","56","169","6","2","1","",".263",".331",".500",".832",".350","","0.5","-1.1","","2.8","","117.2","18607"
"Nick Castellanos","","151","651","592","165","40","2","31","93","98","46","139","7","3","2","",".278",".335",".509",".844",".355","","-5.1","-0.6","","2.8","","62.0","11737"
"Spencer Torkelson","DET","130","560","484","123","25","2","30","76","81","56","119","8","5","2","",".254",".337",".498",".835",".354","","2.0","-0.4","","2.7","","262.6","sa3014504"
"Brandon Crawford","SFG","136","588","524","133","27","2","19","69","74","53","120","6","8","4","",".254",".327",".422",".749",".321","","1.1","-1.0","","2.7","","214.1","5343"
"Whit Merrifield","KCR","149","644","592","166","35","4","11","84","59","38","96","5","28","7","",".280",".327",".410",".736",".318","","2.4","2.7","","2.7","","30.9","11281"
"Salvador Perez","KCR","149","601","561","146","25","0","36","74","99","24","148","11","1","0","",".260",".301",".499",".800",".336","","2.6","-1.3","","2.7","","33.0","7304"
"Kolten Wong","MIL","136","588","521","138","29","3","14","75","55","44","98","14","15","5","",".264",".336",".411",".747",".324","","4.3","0.9","","2.7","","192.5","12532"
"Kris Bryant","","136","588","510","130","30","2","23","80","71","62","136","11","7","2","",".256",".347",".454",".801",".344","","-5.3","1.0","","2.7","","94.6","15429"
"Jeff McNeil","NYM","133","574","516","145","30","2","14","69","63","40","77","13","5","2","",".280",".345",".426",".771",".335","","-1.4","-0.8","","2.7","","321.4","15362"
"Eloy Jiménez","CHW","146","630","581","158","29","1","34","80","104","39","152","4","1","0","",".272",".320",".503",".823",".348","","-3.2","-0.3","","2.6","","62.2","17484"
"Anthony Rizzo","","138","595","507","131","23","2","25","78","81","60","94","21","6","2","",".259",".358",".462",".820",".353","","1.7","-1.8","","2.6","","183.9","3473"
"Justin Turner","LAD","138","595","522","140","24","0","22","79","83","55","100","13","3","0","",".269",".349",".442",".791",".343","","-2.3","-1.2","","2.6","","151.8","5235"
"Dylan Carlson","STL","146","630","554","143","31","5","20","78","75","58","145","9","4","2","",".259",".336",".439",".775",".333","","2.0","-0.7","","2.6","","175.0","20126"
"Randy Arozarena","TBR","147","637","559","144","29","3","23","88","75","56","168","16","21","10","",".257",".339",".446",".785",".337","","-2.2","-0.6","","2.6","","60.6","19290"
"Michael Conforto","","143","616","524","132","27","1","23","78","82","76","137","12","3","2","",".253",".357",".442",".799",".346","","-1.8","-0.5","","2.6","","199.0","16376"
"Dansby Swanson","ATL","154","665","596","147","32","3","24","85","79","55","165","6","10","3","",".247",".314",".430",".745",".318","","-0.9","1.1","","2.5","","122.2","18314"
